id,title,year,authors,source,doi_or_url,relevance_notes
P011,Current role of artificial intelligence and machine learning: is their application feasible in pediatric upper airway obstructive disorders?,2026,Dallari V and Reale M and Fermi M and Fabbris C and Trecca EMC,CSV Import,10.1007/s00405-025-09592-6,Retrieved from literature search
P012,A Novel Snore Recording Application Demonstrating High Correlation With Two-channel Portable Monitoring for Diagnosing Sleep Apnea Syndrome.,2026,Nagano T and Hashimoto M and Izumi S and Hata Y and Katsurada N and Katsurada M and Tsuji M and Morota K and Hata A and Kobayashi K,CSV Import,10.21873/invivo.14356,Retrieved from literature search
P013,"Definition of severity, management, and follow-up of isolated snoring in adults: An international consensus.",2026,Carrichon H and Favier V and Cammaroto G and Dos Santos H and de Vito A and Zancanella E and Cahali MB and Moniri A and Carrasco-Llatas M and Ravesloot M and Alkan U and Cheong RCT and Lechien JR and Maniaci A and O'Connor C and Salamanca F and Jacobowitz O and Abedipour D and Decotte A and Schmitt D and Lestang P and Yona L and Huth J and Bastier PL and Dufour X and De Vries N and Winck JC and Olszewska E and Allali L and Lisan Q and Carsuzaa F,CSV Import,10.1016/j.anorl.2026.04.001,Retrieved from literature search
P014,Pediatric precision sleep network: a study protocol for identifying sleep signatures of mental health risk in peri-adolescents.,2026,Baker AE and Cooper RE and Buysse DJ and Chien AT and Gonzalez R Jr and Levenson JC and Miller T and Rivero-Conil S and Seo D and Visweswaran S and Wang Y and Caswell A and Chan S and Chiu K and Corcoran M and Churchill S and Currie R and Duque M and Elder I and Freitag J and Jadhav S and Locke R and Martin C and Milla M and Sahasrabudhe R and Sathe S and Shellhause K and Sritharan A and Robles J and Werner A and Wallace MJ and Jalbrzikowski M and McMakin DL and Soehner AM,CSV Import,10.1186/s12887-026-07253-z,Retrieved from literature search
P017,SleepBuds: Posture-Aware Modeling of Respiration-Driven Bilateral Earable Motion for Sleep Monitoring,2026,Yang Liu and Ananta Narayanan Balaji and Lorena Qendro,CSV Import,10.1145/3812836.3814762,Retrieved from literature search
P025,Contactless Sleep Apnea Detection with Bodyseismography,2026,Yingjian Song and Jiayu Chen and Zixuan Zeng and Yida Zhang and Zaid Pitafi and Deepak Kumar Das and Bradley G. Phillips and Younghoon Kwon and William J. Healy and Xiang Zhang and Fei Dou and WenZhan Song,CSV Import,10.1145/3810211,Retrieved from literature search
P026,3DGS on Your Phone: Towards Fully Immersive Mobile Volumetric Video Streaming,2026,Gunjoong Kim and Seonghoon Park and Jeho Lee and Chanyoung Jung and Hyungchol Jun and Hojung Cha,CSV Import,10.1145/3810919.3810924,Retrieved from literature search
P050,μMobileScan: A Smartphone Whole Slide Imaging App for Red Blood Cell Counting with Real-time Guidance,2026,Sixuan Wu and Jung Hyun Bae and Alexander T. Adams,CSV Import,10.1145/3790109,Retrieved from literature search
P053,SSA-HAN: Sleep-Stage-Aware Hierarchical Attention Network for Patient-Level Sleep Apnea Severity Assessment,2026,Yanxue Yuan and Kai Xing and Libo Yin and Hui Yang and Xin Shi and Liping Zhou and Huanhuan Chang and Ruyuan Wang,CSV Import,10.1145/3810280.3810395,Retrieved from literature search
P072,Towards 4D Gesture Reconstruction Through Leaky Acoustic Waves,2026,Yongjie Yang and Tao Chen and Zhenlin An and Shirui Cao and Xiaoran Fan and Longfei Shangguan,CSV Import,10.1145/3833428.3833431,Retrieved from literature search
P080,Mobile Phone Color Accuracy for Practical Cultural Heritage Imaging,2026,Leah Humenuck and Sony George and Susan Farnand,CSV Import,10.1145/3819234,Retrieved from literature search
P091,"Vibrational, Acoustic and Inertial Sensing on Smart Eyewear for Physiological Monitoring",2026,Angela Cortese and Federica Mozzini and Luca Casciano and Aurelio Teliti and Matteo Rossi and Giacomo Gervasoni and Niccolò Antonello and Enrico Gianluca Caiani,CSV Import,10.1145/3812836.3814765,Retrieved from literature search
P1004,The Relationship between Childhood Trauma and Sleep Procrastination in College Students: The Mediating Role of Mobile Phone Addiction,2026,N/A,CSV Import,10.23977/appep.2026.070102,Retrieved from literature search
P1029,Digital Acoustic Uroflowmetry for Noninvasive Urine Flow Rate Monitoring in Men Using Smartphone Acoustic Pattern Recognition: Protocol for the Development of a System and Mobile App,2026,Kevin Yonathan and Harrina Erlianti Rahardjo and Irfan Wahyudi and Fina Widia and Putu Angga Risky Raharja and Saras Serani Sesari,CSV Import,10.2196/102842,Retrieved from literature search
P1033,The comorbidity of ischemic heart disease requiring (IHD) revascularization significantly correlates with obstructive sleep apnea (OSA),2026,M. Kowalik and M. Tworek and W. Wloczyk and L. Bielecka and M. Orawiec and A. Kablak-Ziembicka and W. Plazak and J. Podolec,CSV Import,10.1016/j.sleep.2025.107674,Retrieved from literature search
P1036,OSA Pathogenesis—The Hypotonic Phenotype,2026,Guillermo Plaza and Andrés Navarro and Gabriela Bosco and Peter M. Baptista and Carlos O’Connor Reina,CSV Import,10.1007/978-3-032-10057-3_3,Retrieved from literature search
