key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-661287569,Metrics of sleep apnea severity: beyond the apnea-hypopnea index.,2021,1,1,,,,,,Malhotra A and Ayappa I and Ayas N and Collop N and Kirsch D and Mcardle N and Mehra R and Pack AI and Punjabi N and White DP and Gottlieb DJ,https://pubmed.ncbi.nlm.nih.gov/33693939/,,,,"Obstructive sleep apnea (OSA) is thought to affect almost 1 billion people worldwide. OSA has well established cardiovascular and neurocognitive sequelae, although the optimal metric to assess its severity and/or potential response to therapy remains unclear. The apnea-hypopnea index (AHI) is well established; thus, we review its history and predictive value in various different clinical contexts. Although the AHI is often criticized for its limitations, it remains the best studied metric of OSA severity, albeit imperfect. We further review the potential value of alternative metrics including hypoxic burden, arousal intensity, odds ratio product, and cardiopulmonary coupling. We conclude with possible future directions to capture clinically meaningful OSA endophenotypes including the use of genetics, blood biomarkers, machine/deep learning and wearable technologies. Further research in OSA should be directed towards providing diagnostic and prognostic information to make the OSA diagnosis more accessible and to improving prognostic information regarding OSA consequences, in order to guide patient care and to help in the design of future clinical trials.","",10.1093/sleep/zsab030,"",,
rayyan-661287570,OSA diagnosis goes wearable: are the latest devices ready to shine?,2024,1,1,,,,,,Chiang AA and Jerkins E and Holfinger S and Schutte-Rodin S and Chandrakantan A and Mong L and Glinka S and Khosla S,https://pubmed.ncbi.nlm.nih.gov/39132687/,,,,"STUDY OBJECTIVES: From 2019-2023, the United States Food and Drug Administration has cleared 9 novel obstructive sleep apnea-detecting wearables for home sleep apnea testing, with many now commercially available for sleep clinicians to integrate into their clinical practices. To help clinicians comprehend these devices and their functionalities, we meticulously reviewed their operating mechanisms, sensors, algorithms, data output, and related performance evaluation literature.
METHODS: We collected information from PubMed, United States Food and Drug Administration clearance documents, ClinicalTrials.gov, and web sources, with direct industry input whenever feasible.
RESULTS: In this ""device-centered"" review, we broadly categorized these wearables into 2 main groups: those that primarily harness photoplethysmography data and those that do not. The former include the peripheral arterial tonometry-based devices. The latter was further broken down into 2 key subgroups: acoustic-based and respiratory effort-based devices. We provided a performance evaluation literature review and objectively compared device-derived metrics and specifications pertinent to sleep clinicians. Detailed demographics of study populations, exclusion criteria, and pivotal statistical analyses of the key validation studies are summarized.
CONCLUSIONS: In the foreseeable future, these novel obstructive sleep apnea-detecting wearables may emerge as primary diagnostic tools for patients at risk for moderate-to-severe obstructive sleep apnea without significant comorbidities. While more devices are anticipated to join this category, there remains a critical need for cross-device comparison studies as well as independent performance evaluation and outcome research in diverse populations. Now is the moment for sleep clinicians to immerse themselves in understanding these emerging tools to ensure our patient-centered care is improved through the appropriate implementation and utilization of these novel sleep technologies.
CITATION: Chiang AA, Jerkins E, Holfinger S, et al. OSA diagnosis goes wearable: are the latest devices ready to shine? J Clin Sleep Med. 2024;20(11):1823-1838.","",10.5664/jcsm.11290,"",,
rayyan-661287571,Cardiopulmonary Coupling.,2022,1,1,,,,,,Lu M and Penzel T and Thomas RJ,https://pubmed.ncbi.nlm.nih.gov/36217085/,,,,"Cardiopulmonary coupling (CPC) is a technique that generates sleep spectrogram by calculating the cross-spectral power and coherence of heart rate variability and respiratory tidal volume fluctuations. There are several forms of CPC in the sleep spectrogram, which may provide information about normal sleep physiology and pathological sleep states. Since CPC can be calculated from any signal recording containing heart rate and respiration information, such as photoplethysmography (PPG) or blood pressure, it can be widely used in various applications, including wearables and non-contact devices. When derived from PPG, an automatic apnea-hypopnea index can be calculated from CPC-oximetry as PPG can be obtained from oximetry alone. CPC-based sleep profiling reveals the effects of stable and unstable sleep on sleep apnea, insomnia, cardiovascular regulation, and metabolic disorders. Here, we introduce, with examples, the current knowledge and understanding of the CPC technique, especially the physiological basis, analytical methods, and its clinical applications.","",10.1007/978-3-031-06413-5_11,"",,
rayyan-661287572,Tirzepatide for sleep-disordered breathing in SURMOUNT-OSA: Time course and association with body weight.,2025,1,1,,,,,,Malhotra A and Grunstein RR and Azarbarzin A and Sands SA and Dang X and Chakladar S and Dunn JP and Falcon B and Bednarik J,https://pubmed.ncbi.nlm.nih.gov/41135142/,,,,"BACKGROUND: Obstructive sleep apnea (OSA) is a common disorder with major cardiometabolic and neurocognitive sequelae. It affects up to 1 billion people globally and is frequently attributable to excess weight [1]. Tirzepatide is a once-weekly, dual glucose-dependent insulinotropic polypeptide (GIP) and glucagon-like peptide-1 (GLP-1) receptor agonist that is FDA-approved for the treatment of moderate-to-severe OSA in adults with obesity.
METHODS: The SURMOUNT-OSA program included two 52-week, randomized, double-blind, placebo-controlled, Phase 3 studies (Study 1 and Study 2). The objective of these analyses was to assess time to treatment effects for improvements in apnea-hypopnea index (AHI) and sleep apnea-specific hypoxic burden (SASHB), and how these changes correspond with body weight reduction. We also aimed to investigate weight-dependent and weight-independent effects of tirzepatide treatment for OSA using linear regression analysis.
RESULTS: The results of peripheral AHI (pAHI) and SASHB measurements from WatchPAT 300 in Study 1 were consistent with the polysomnographic (PSG) findings. The tirzepatide-associated improvements in pAHI were significant vs baseline as early as Week 4. However, the estimated treatment difference compared to placebo was not significant until Week 20 for both pAHI and WatchPAT-based SASHB. The magnitude of changes in AHI and SASHB were associated with achieved weight reduction in both studies.
CONCLUSIONS: The results from these post hoc analyses provide details regarding the time course of resolution and insights regarding the impact of weight reduction on OSA improvements. Additional research is needed to determine the impact of body weight reduction versus other effects of tirzepatide on the improvements in OSA measures. SURMOUNT-OSA ClinicalTrials.gov number NCT05412004.","",10.1016/j.sleep.2025.106853,"",,
rayyan-661287573,"Nocturnal Hypoxemia in Respiratory Medicine: Pathophysiology, Measurement, and Association with Outcomes.",2025,1,1,,,,,,Hajipour M and Labarca G and Ayas N and Azarbarzin A,https://pubmed.ncbi.nlm.nih.gov/40404132/,,,,"Nocturnal hypoxemia is a prevalent feature of various respiratory diseases, significantly impacting patient outcomes and therapeutic strategies. Oximetry, a noninvasive and widely accessible tool, enables the measurement of nocturnal hypoxemia through oxyhemoglobin saturation (SpO2)-derived metrics such as the oxygen desaturation index, percentage of sleep time with SpO2 below 90%, mean SpO2, and measures of the area under the desaturation curve (e.g., sleep apnea-specific hypoxic burden). While these metrics are well established in obstructive sleep apnea (OSA), their application in other respiratory conditions, including chronic obstructive pulmonary disease, pulmonary hypertension, obesity hypoventilation syndrome, heart failure, neuromuscular disorders, pregnancy, and high-altitude residents, remains an area of active investigation. This review explores the pathophysiology of hypoxemia in these conditions and evaluates the role of SpO2-derived metrics in risk stratification beyond OSA. We also discuss the challenges of interpreting SpO2 data, particularly the difficulty differentiating disease-related hypoxemia from comorbid OSA. Additionally, we examine the limitations of oximetry, including sensor inaccuracies, motion artifacts, and skin pigmentation. Finally, we emphasize the need for further research to standardize these metrics across diverse conditions and advocate for their integration into clinical practice to enhance patient management and outcomes.","",10.1055/a-2618-7422,"",,
rayyan-661287574,World Sleep Society recommendations for the use of wearable consumer health trackers that monitor sleep.,2025,1,1,,,,,,Chee MW and Baumert M and Scott H and Cellini N and Goldstein C and Baron K and Imtiaz SA and Penzel T and Kushida CA and World Sleep Society Sleep Tracker Task Force,https://pubmed.ncbi.nlm.nih.gov/40300398/,,,,"Wearable consumer health trackers (CHTs) are increasingly used for sleep monitoring, yet their utility remains debated within the sleep community. To navigate these perspectives, we propose pragmatic, actionable recommendations for users, clinicians, researchers, and manufacturers to support CHT usage and development. We provide an overview of the evolution of multi-sensor CHTs, detailing common sensors and sleep-relevant metrics. We advocate for standardized 'fundamental sleep measures' across manufacturers, distinguishing these from proprietary exploratory metrics with future potential. We outline best practices for using CHT-derived sleep data in healthy individuals while addressing current device limitations. Additionally, we explore their role in evaluating and managing individuals at risk for or diagnosed with insomnia, sleep apnea, or circadian rhythm sleep-wake disorders. Guidance is provided on device selection to align with their intended use and on conducting and interpreting performance evaluation studies. Collaboration with manufacturers is needed to balance feature comprehensiveness with clinical utility and usability. Finally, we examine challenges in integrating heterogeneous sleep data into clinical health records and discuss medical device certification for specific wearable CHT features. By addressing these issues, our recommendations aim to inform the usage of CHTs in the global community and to begin bridging the gap between consumer technology and clinical application, maximizing the potential of CHTs to enhance both personal and community sleep health.","",10.1016/j.sleep.2025.106506,"",,
rayyan-661287575,Tirzepatide on obstructive sleep apnea-related cardiometabolic risk: secondary outcomes of the SURMOUNT-OSA randomized trial.,2026,1,1,,,,,,Malhotra A and Grunstein R and Azarbarzin A and Sands S and Somers VK and Aronne LJ and Jastreboff AM and Lou J and Chakladar S and Dunn JP and Bunck MC and Bednarik J,https://pubmed.ncbi.nlm.nih.gov/41540105/,,,,"Obstructive sleep apnea (OSA) is associated with obesity and cardiovascular risk. The SURMOUNT-OSA master protocol comprised two, 52-week, randomized, double-blind, placebo-controlled phase 3 studies (study 1 and study 2) and demonstrated a significant reduction of a number of cardiometabolic risk measures in participants with OSA and obesity following treatment with tirzepatide. Here we report prespecified analysis of cardiometabolic risk measures in SURMOUNT-OSA. Post hoc analyses include changes in a homeostatic model assessment for insulin resistance and mediation analysis to determine the proportion of observed changes attributable to reductions in body weight, apnea-hypopnea index and sleep apnea-specific hypoxic burden. In both study 1 and study 2 of SURMOUNT-OSA, tirzepatide treatment was associated with greater alleviation of cardiometabolic risk factors than placebo. Independent mediation effect of changes in OSA metrics was observed on high-sensitivity C-reactive protein, homeostatic model assessment for insulin resistance and triglycerides. The combination of changes in weight and OSA metrics, as well as weight alone, had a significant mediation effect on systolic blood pressure, but there was no significant mediation effect of weight or OSA metrics observed on diastolic blood pressure. Based on the mediation analysis, treating both sleep-disordered breathing and obesity is likely required to optimize the treatment effect on cardiometabolic benefits for patients with moderate-to-severe OSA and obesity. The ClinicalTrials.gov registration number for this study is NCT05412004 .","",10.1038/s41591-025-04071-1,"",,
rayyan-661287576,Longitudinal sleep apnea burden monitoring: Implications for future smart wearable- and implantable- devices.,2022,1,1,,,,,,Linz D,https://pubmed.ncbi.nlm.nih.gov/35304188/,,,,,"",10.1016/j.ijcard.2022.03.025,"",,
rayyan-661287577,"The relationship between obesity and obstructive sleep apnea in four community-based cohorts: an individual participant data meta-analysis of 12,860 adults.",2025,1,1,,,,,,Esmaeili N and Gell L and Imler T and Hajipour M and Taranto-Montemurro L and Messineo L and Stone KL and Sands SA and Ayas N and Yee J and Cronin J and Heinzer R and Wellman A and Redline S and Azarbarzin A,https://pubmed.ncbi.nlm.nih.gov/40330547/,,,,"BACKGROUND: Obesity is a well-established risk factor for obstructive sleep apnea (OSA). We assessed the reciprocal prevalence of obesity and OSA and how it varies by age and sex.
METHODS: Following a systematic review through March 27, 2025, the final sample included four community-based cohort studies in the US and Switzerland. OSA severity was quantified using the apnea-hypopnea index (AHI, all apneas plus hypopneas with ≥4% oxygen desaturation/hour). Random effects individual participant data (IPD) meta-analyses estimated prevalences. Logistic regression compared odds of OSA across weight groups.
FINDINGS: Among 12,860 adults (mean ± SD age: 66.6 ± 7.3 years), 7222 (56.2%) had OSA (AHI ≥5 events/h) and 3309 (25.7%) had obesity (BMI ≥30 kg/m2). IPD meta-analysis showed 31.5% [95% CI: 16.8-48.5] of individuals with OSA had obesity and 44.4% [36.5-52.5] had overweight status (25 ≤ BMI < 30). Among subgroups of individuals with obesity and overweight, 74.3% [63.8-83.5] and 59.8% [46.5-75.7] had any OSA, respectively. Obesity was higher in females than males with OSA, and in younger (<65 years) vs. older individuals. Odds ratios for OSA in subgroups of individuals with overweight and obesity compared to BMI <25 kg/m2 were 2.18 [1.73-2.76] and 4.84 [3.09-6.00], respectively.
INTERPRETATION: Our analyses show that most adults with OSA do not have obesity, with 44.4% having overweight and 23.5% having normal weight or underweight. Obesity was more prevalent among females compared to males and in younger individuals (<65 years) compared to older individuals with OSA. Recognizing OSA is not exclusive to obesity highlights the need for personalized treatment plans.
FUNDING: American Academy of Sleep Medicine, National Heart, Lung, and Blood Institute, and Apnimed.","",10.1016/j.eclinm.2025.103221,"",,
rayyan-661287578,A Detailed Mechanistic Understanding of Positional and Nonpositional OSA: What Side Are You On?,2024,1,1,,,,,,Edwards BA and Joosten SA and Sands SA,https://pubmed.ncbi.nlm.nih.gov/38986643/,,,,,"",10.1016/j.chest.2024.03.025,"",,
