"title","year","authors","url","abstract","notes","doi"
"Why does tinnitus vary with naps? A polysomnographic prospective study exploring the somatosensory hypothesis","2025","Robin Guillard and Vincent Philippe and Adam Hessas and Brice Faraut and Sarah Michiels and Minchul Park and Marco Congedo and Alain Londero and Damien Léger","http://arxiv.org/abs/2503.23808v1","Background: Tinnitus, defined as the conscious awareness of a noise without any identifiable corresponding external acoustic source, can be modulated by various factors. Among these factors, tinnitus patients commonly report drastic increases of tinnitus loudness following nap sleep. Previous studies have suggested that this clinical pattern could be attributed to a somatosensory modulation of tinnitus. To our knowledge, no polysomnographic study has been carried out to assess this hypothesis. Methods: For this observational prospective study, 37 participants reporting frequent increases of tinnitus following naps were recruited. They participated to six full-polysomnography nap attempts over two days. Audiological and kinesiologic tests were conducted before and after each nap attempt. Results: 197 naps were collected. Each nap at each time of day elicited an overall significant increase in tinnitus minimum masking level (MML). Each inter nap period elicited an overall significant decrease. Tinnitus modulations were found significantly correlated with nap sleep duration (Visual numeric scale on tinnitus loudness, VNS-L, p < 0.05), with snoring duration (MML, p < 0.001), with snoring average sound level (VNS on tinnitus intrusiveness, VNS-I, p < 0.05) and with sleep apnea count (VNS-I, p < 0.001). Conclusions: This study confirms objectively that tinnitus may increase following naps. No association was found between these modulations and somatosensory modulations involving the temporomandibular joint and cervical areas. However, it may be possible that nap-induced tinnitus modulations are a hidden form of somatosensory modulation as snoring and sleep apnea events are often related to tensor veli palatini muscle dysfunction.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-O""]}","10.1016/j.heares.2024.109152"
"BreathAI: Transfer Learning-Based Thermal Imaging for Automated Breathing Pattern Recognition","2026","Hamza Kheddar and Yassine Himeur and Abbes Amira","http://arxiv.org/abs/2604.17442v1","This study presents an Adaptive Transfer Learning and Thresholding-based Deep Learning Model (ATL-TDLM) for automated breathing pattern recognition using thermal imaging. Unlike conventional methods that rely on sound-based respiratory data, our approach leverages hierarchical deep feature extraction and adaptive multi-thresholding (AMT) to enhance feature segmentation. The model integrates knowledge distillation-based fine-tuning (KD-FT) to optimize learning transfer and contrastive representation learning (CRL) to improve inter-class separability between inhalation (INH) and exhalation (EXH) phases. The ATL-TDLM framework achieves an accuracy of 98.8%, significantly outperforming state-of-the-art models while ensuring computational efficiency. This approach has potential applications in respiratory disorder detection, including sleep apnea and asthma monitoring.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-O""]}","10.1109/icip55913.2025.11084681"
"Improving snore detection under limited dataset through harmonic/percussive source separation and convolutional neural networks","2024","F. D. Gonzalez-Martinez and J. J. Carabias-Orti and F. J. Canadas-Quesada and N. Ruiz-Reyes and D. Martinez-Munoz and S. Garcia-Galan","http://arxiv.org/abs/2410.23796v1","Snoring, an acoustic biomarker commonly observed in individuals with Obstructive Sleep Apnoea Syndrome (OSAS), holds significant potential for diagnosing and monitoring this recognized clinical disorder. Irrespective of snoring types, most snoring instances exhibit identifiable harmonic patterns manifested through distinctive energy distributions over time. In this work, we propose a novel method to differentiate monaural snoring from non-snoring sounds by analyzing the harmonic content of the input sound using harmonic/percussive sound source separation (HPSS). The resulting feature, based on the harmonic spectrogram from HPSS, is employed as input data for conventional neural network architectures, aiming to enhance snoring detection performance even under a limited data learning framework. To evaluate the performance of our proposal, we studied two different scenarios: 1) using a large dataset of snoring and interfering sounds, and 2) using a reduced training set composed of around 1% of the data material. In the former scenario, the proposed HPSS-based feature provides competitive results compared to other input features from the literature. However, the key advantage of the proposed method lies in the superior performance of the harmonic spectrogram derived from HPSS in a limited data learning context. In this particular scenario, using the proposed harmonic feature significantly enhances the performance of all the studied architectures in comparison to the classical input features documented in the existing literature. This finding clearly demonstrates that incorporating harmonic content enables more reliable learning of the essential time-frequency characteristics that are prevalent in most snoring sounds, even in scenarios where the amount of training data is limited.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}","10.1016/j.apacoust.2023.109811"
"Do neonates hear what we measure? Assessing neonatal ward soundscapes at the neonates ears","2025","Bhan Lam and Peijin Esther Monica Fan and Yih Yann Tay and Woei Bing Poon and Zhen-Ting Ong and Kenneth Ooi and Woon-Seng Gan and Shin Yuh Ang","http://arxiv.org/abs/2502.00565v1","Acoustic guidelines for neonatal intensive care units (NICUs) aim to protect vulnerable neonates from noise-induced physiological harm. However, the lack of recognised international standards for measuring neonatal soundscapes has led to inconsistencies in instrumentation and microphone placement in existing literature, raising concerns about the relevance and effectiveness of these guidelines. This study addresses these gaps through long-term acoustic measurements in an operational NICU and a high-dependency ward. We investigate the influence of microphone positioning, bed placement, and ward layout on the assessment of NICU soundscapes. Beyond traditional A-weighted decibel metrics, this study evaluates C-weighted metrics for low-frequency noise, the occurrence of tonal sounds (e.g., alarms), and transient loud events known to disrupt neonates' sleep. Using linear mixed-effects models with aligned ranks transformation ANOVA (LME-ART-ANOVA), our results reveal significant differences in measured noise levels based on microphone placement, highlighting the importance of capturing sound as perceived directly at the neonate's ears. Additionally, bed position and ward layout significantly impact noise exposure, with a NICU bed position consistently exhibiting the highest sound levels across all (psycho)acoustic metrics. These findings support the adoption of binaural measurements along with the integration of additional (psycho)acoustic metrics, such as tonality and transient event occurrence rates, to reliably characterise the neonatal auditory experience.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-1""]}","10.1016/j.buildenv.2025.112655"
"Friday the 13th Hailstorm in the province of Bulacan, Philippines (13 August 2021): A Case Study","2024","Generich H. Capuli","http://arxiv.org/abs/2412.09307v2","This case study presents a thorough investigation of the environmental setup that led to the hail-producing severe storm that impacted the municipality of Norzagaray and City of San Jose Del Monte, including other nearby areas, in the province of Bulacan on the afternoon of August 13, 2021. During this period, 2-5 cm and potentially as large as $\sim$8 cm diameter hail was reported over these locations of Bulacan. For this purpose, the combination of HIMAWARI-8 AHI, PLDN and its flash counts, and meteorological indices; synoptic, thermodynamic, and kinematic indices, calculated from the ERA5 reanalysis are utilized to understand the nature of the hail event. In the morning, the pre-convective environment was comprised by a warm inversion layer that inhibited storm initiation, until the arrival of ample moisture and convective heating in the afternoon. By the afternoon, model sounding analysis revealed that the environment transitioned into uncapped profile with steep low-level lapse rate owing to warm, moist south-westerly wind flow from the Manila Bay in the lower troposphere and north-easterlies aloft crossing the SMMR induced by a weak low-pressure system located in the eastern Philippine Sea, with minimal turning on the wind profile. This promoted low-level convergence within the area of interest and build up of instability. The updraft associated with convectively unstable atmosphere, sufficient cloud-layer bulk shear, and storm nudging at its maturing phase countered entrainment-driven dilution and aided the growth of ice crystals by rapid collection of supercooled cloud liquid particles, which ultimately led to formation of hailstones.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-O""]}","10.1007/s13143-025-00396-6"
"(Un)fair devices: Moving beyond AI accuracy in personal sensing","2023","Sofia Yfantidou and Marios Constantinides and Dimitris Spathis and Athena Vakali and Daniele Quercia and Fahim Kawsar","http://arxiv.org/abs/2303.15585v4","Personal devices are omnipresent in our lives, seamlessly monitoring our activities, from smart rings tracking sleep patterns to smartwatches keeping an eye on missed heartbeats. The rich data streams from such devices fuel advanced Artificial Intelligence (AI) applications. Instead of solely relying on direct sensor measurements, these applications are increasingly leveraging Machine Learning (ML) model estimates to derive insights. But are these estimates biased or not? This literature review delivers compelling evidence about the impact of hidden biases that creep into ML models deployed on personal devices. We discuss critical bias issues drawn from prior work such as racial bias in pulse oximeters, weight bias in optical heart rate sensors, and sex bias in audio-based diagnostics. In response to these challenges, we advocate for a shift from prioritizing performance-oriented evaluations of personal devices to adopting assessments grounded in a human-centered approach. To facilitate this transition, we provide guidelines for the design, development, evaluation, and use of unbiased AI in personal devices, recognizing their potential impact on improving our health, lifestyle, and productivity -- more than any other technology.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-N""]}","10.1145/3796223"
"A Recall-First CNN for Sleep Apnea Screening from Snoring Audio","2025","Anushka Mallick and Afiya Noorain and Ashwin Menon and Ashita Solanki and Keertan Balaji","http://arxiv.org/abs/2510.00052v1","Sleep apnea is a serious sleep-related breathing disorder that is common and can impact health if left untreated. Currently the traditional method for screening and diagnosis is overnight polysomnography. Polysomnography is expensive and takes a lot of time, and is not practical for screening large groups of people. In this paper, we explored a more accessible option, using respiratory audio recordings to spot signs of apnea.We utilized 18 audio files.The approach involved converting breathing sounds into spectrograms, balancing the dataset by oversampling apnea segments, and applying class weights to reduce bias toward the majority class. The model reached a recall of 90.55 for apnea detection. Intentionally, prioritizing catching apnea events over general accuracy. Despite low precision,the high recall suggests potential as a low-cost screening tool that could be used at home or in basic clinical setups, potentially helping identify at-risk individuals much earlier.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}",""
"Deep Learning-Based Automatic Multi-Level Airway Collapse Monitoring on Obstructive Sleep Apnea Patients","2024","Ying-Chieh Hsu and Stanley Yung-Chuan Liu and Chao-Jung Huang and Chi-Wei Wu and Ren-Kai Cheng and Jane Yung-Jen Hsu and Shang-Ran Huang and Yuan-Ren Cheng and Fu-Shun Hsu","http://arxiv.org/abs/2408.16030v2","This study investigated the use of deep learning to identify multi-level upper airway collapses in obstructive sleep apnea (OSA) patients based on snoring sounds. We fi-ne-tuned ResNet-50 and Audio Spectrogram Transformer (AST) models using snoring recordings from 37 subjects undergoing drug-induced sleep endoscopy (DISE) between 2020 and 2021. Snoring sounds were labeled according to the VOTE (Velum, Orophar-ynx, Tongue Base, Epiglottis) classification, resulting in 259 V, 403 O, 77 T, 13 E, 1016 VO, 46 VT, 140 OT, 39 OE, 30 VOT, and 3150 non-snoring (N) 0.5-second clips. The models were trained for two multi-label classification tasks: identifying obstructions at V, O, T, and E levels, and identifying retropalatal (RP) and retroglossal (RG) obstruc-tions. Results showed AST slightly outperformed ResNet-50, demonstrating good abil-ity to identify V (F1-score: 0.71, MCC: 0.61, AUC: 0.89), O (F1-score: 0.80, MCC: 0.72, AUC: 0.94), and RP obstructions (F1-score: 0.86, MCC: 0.77, AUC: 0.97). However, both models struggled with T, E, and RG classifications due to limited data. Retrospective analysis of a full-night recording showed the potential to profile airway obstruction dynamics. We expect this information, combined with polysomnography and other clinical parameters, can aid clinical triage and treatment planning for OSA patients.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}",""
"Validation of a new, minimally-invasive, software smartphone device to predict sleep apnea and its severity: transversal study","2024","Justine Frija and Juliette Millet and Emilie Bequignon and Ala Covali and Guillaume Cathelain and Josselin Houenou and Helene Benzaquen and Pierre Alexis Geoffroy and Emmanuel Bacry and Mathieu Grajoszex and Marie-Pia d Ortho","http://arxiv.org/abs/2406.16953v1","Obstructive sleep apnea (OSA) is frequent and responsible for cardiovascular complications and excessive daytime sleepiness. It is underdiagnosed due to the difficulty to access the gold standard for diagnosis, polysomnography (PSG). Alternative methods using smartphone sensors could be useful to increase diagnosis. The objective is to assess the performances of Apneal, an application that records the sound using a smartphone's microphone and movements thanks to a smartphone's accelerometer and gyroscope, to estimate patients' AHI. In this article, we perform a monocentric proof-of-concept study with a first manual scoring step, and then an automatic detection of respiratory events from the recorded signals using a sequential deep-learning model which was released internally at Apneal at the end of 2022 (version 0.1 of Apneal automatic scoring of respiratory events), in adult patients during in-hospital polysomnography.46 patients (women 34 per cent, mean BMI 28.7 kg per m2) were included. For AHI superior to 15, sensitivity of manual scoring was 0.91, and positive predictive value (PPV) 0.89. For AHI superior to 30, sensitivity was 0.85, PPV 0.94. We obtained an AUC-ROC of 0.85 and an AUC-PR of 0.94 for the identification of AHI superior to 15, and AUC-ROC of 0.95 and AUC-PR of 0.93 for AHI superior to 30. Promising results are obtained for the automatic annotations of events.This article shows that manual scoring of smartphone-based signals is possible and accurate compared to PSG-based scorings. Automatic scoring method based on a deep learning model provides promising results. A larger multicentric validation study, involving subjects with different SAHS severity is required to confirm these results.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}",""
"Estimating Respiratory Effort from Nocturnal Breathing Sounds for Obstructive Sleep Apnoea Screening","2025","Xiaolei Xu and Chaoyue Niu and Guy J. Brown and Hector Romero and Ning Ma","http://arxiv.org/abs/2509.14944v2","Obstructive sleep apnoea (OSA) is a prevalent condition with significant health consequences, yet many patients remain undiagnosed due to the complexity and cost of over-night polysomnography. Acoustic-based screening provides a scalable alternative, yet performance is limited by environmental noise and the lack of physiological context. Respiratory effort is a key signal used in clinical scoring of OSA events, but current approaches require additional contact sensors that reduce scalability and patient comfort. This paper presents the first study to estimate respiratory effort directly from nocturnal audio, enabling physiological context to be recovered from sound alone. We propose a latent-space fusion framework that integrates the estimated effort embeddings with acoustic features for OSA detection. Using a dataset of 157 nights from 103 participants recorded in home environments, our respiratory effort estimator achieves a concordance correlation coefficient of 0.48, capturing meaningful respiratory dynamics. Fusing effort and audio improves sensitivity and AUC over audio-only baselines, especially at low apnoea-hypopnoea index thresholds. The proposed approach requires only smartphone audio at test time, which enables sensor-free, scalable, and longitudinal OSA monitoring.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}",""
