key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-642890869,Improving snore detection under limited dataset through harmonic/percussive source separation and convolutional neural networks,2024,1,1,,,,,,F. D. Gonzalez-Martinez and J. J. Carabias-Orti and F. J. Canadas-Quesada and N. Ruiz-Reyes and D. Martinez-Munoz and S. Garcia-Galan,http://arxiv.org/abs/2410.23796v1,,,,"Snoring, an acoustic biomarker commonly observed in individuals with Obstructive Sleep Apnoea Syndrome (OSAS), holds significant potential for diagnosing and monitoring this recognized clinical disorder. Irrespective of snoring types, most snoring instances exhibit identifiable harmonic patterns manifested through distinctive energy distributions over time. In this work, we propose a novel method to differentiate monaural snoring from non-snoring sounds by analyzing the harmonic content of the input sound using harmonic/percussive sound source separation (HPSS). The resulting feature, based on the harmonic spectrogram from HPSS, is employed as input data for conventional neural network architectures, aiming to enhance snoring detection performance even under a limited data learning framework. To evaluate the performance of our proposal, we studied two different scenarios: 1) using a large dataset of snoring and interfering sounds, and 2) using a reduced training set composed of around 1% of the data material. In the former scenario, the proposed HPSS-based feature provides competitive results compared to other input features from the literature. However, the key advantage of the proposed method lies in the superior performance of the harmonic spectrogram derived from HPSS in a limited data learning context. In this particular scenario, using the proposed harmonic feature significantly enhances the performance of all the studied architectures in comparison to the classical input features documented in the existing literature. This finding clearly demonstrates that incorporating harmonic content enables more reliable learning of the essential time-frequency characteristics that are prevalent in most snoring sounds, even in scenarios where the amount of training data is limited.","RAYYAN-INCLUSION: {""Đặng Gia""=>""Included""} | USER-NOTES: {""Đặng Gia""=>[""IC-P, IC-I, IC-C, IC-E"", ""IC-L, IC-T, IC-Y, IC-P, IC-C, IC-E""]}",10.1016/j.apacoust.2023.109811,"",,
rayyan-642890873,A Recall-First CNN for Sleep Apnea Screening from Snoring Audio,2025,1,1,,,,,,Anushka Mallick and Afiya Noorain and Ashwin Menon and Ashita Solanki and Keertan Balaji,http://arxiv.org/abs/2510.00052v1,,,,"Sleep apnea is a serious sleep-related breathing disorder that is common and can impact health if left untreated. Currently the traditional method for screening and diagnosis is overnight polysomnography. Polysomnography is expensive and takes a lot of time, and is not practical for screening large groups of people. In this paper, we explored a more accessible option, using respiratory audio recordings to spot signs of apnea.We utilized 18 audio files.The approach involved converting breathing sounds into spectrograms, balancing the dataset by oversampling apnea segments, and applying class weights to reduce bias toward the majority class. The model reached a recall of 90.55 for apnea detection. Intentionally, prioritizing catching apnea events over general accuracy. Despite low precision,the high recall suggests potential as a low-cost screening tool that could be used at home or in basic clinical setups, potentially helping identify at-risk individuals much earlier.","RAYYAN-INCLUSION: {""Đặng Gia""=>""Included""} | USER-NOTES: {""Đặng Gia""=>[""IC-P, IC-I, IC-C, IC-E"", ""IC-L, IC-T, IC-Y, IC-P, IC-C, IC-E""]}",,"",,
rayyan-642890874,Deep Learning-Based Automatic Multi-Level Airway Collapse Monitoring on Obstructive Sleep Apnea Patients,2024,1,1,,,,,,Ying-Chieh Hsu and Stanley Yung-Chuan Liu and Chao-Jung Huang and Chi-Wei Wu and Ren-Kai Cheng and Jane Yung-Jen Hsu and Shang-Ran Huang and Yuan-Ren Cheng and Fu-Shun Hsu,http://arxiv.org/abs/2408.16030v2,,,,"This study investigated the use of deep learning to identify multi-level upper airway collapses in obstructive sleep apnea (OSA) patients based on snoring sounds. We fi-ne-tuned ResNet-50 and Audio Spectrogram Transformer (AST) models using snoring recordings from 37 subjects undergoing drug-induced sleep endoscopy (DISE) between 2020 and 2021. Snoring sounds were labeled according to the VOTE (Velum, Orophar-ynx, Tongue Base, Epiglottis) classification, resulting in 259 V, 403 O, 77 T, 13 E, 1016 VO, 46 VT, 140 OT, 39 OE, 30 VOT, and 3150 non-snoring (N) 0.5-second clips. The models were trained for two multi-label classification tasks: identifying obstructions at V, O, T, and E levels, and identifying retropalatal (RP) and retroglossal (RG) obstruc-tions. Results showed AST slightly outperformed ResNet-50, demonstrating good abil-ity to identify V (F1-score: 0.71, MCC: 0.61, AUC: 0.89), O (F1-score: 0.80, MCC: 0.72, AUC: 0.94), and RP obstructions (F1-score: 0.86, MCC: 0.77, AUC: 0.97). However, both models struggled with T, E, and RG classifications due to limited data. Retrospective analysis of a full-night recording showed the potential to profile airway obstruction dynamics. We expect this information, combined with polysomnography and other clinical parameters, can aid clinical triage and treatment planning for OSA patients.","RAYYAN-INCLUSION: {""Đặng Gia""=>""Excluded""} | USER-NOTES: {""Đặng Gia""=>[""IC-P, IC-I, IC-C, IC-E"", ""EC-W""]}",,"",,
rayyan-642890875,"Validation of a new, minimally-invasive, software smartphone device to predict sleep apnea and its severity: transversal study",2024,1,1,,,,,,Justine Frija and Juliette Millet and Emilie Bequignon and Ala Covali and Guillaume Cathelain and Josselin Houenou and Helene Benzaquen and Pierre Alexis Geoffroy and Emmanuel Bacry and Mathieu Grajoszex and Marie-Pia d Ortho,http://arxiv.org/abs/2406.16953v1,,,,"Obstructive sleep apnea (OSA) is frequent and responsible for cardiovascular complications and excessive daytime sleepiness. It is underdiagnosed due to the difficulty to access the gold standard for diagnosis, polysomnography (PSG). Alternative methods using smartphone sensors could be useful to increase diagnosis. The objective is to assess the performances of Apneal, an application that records the sound using a smartphone's microphone and movements thanks to a smartphone's accelerometer and gyroscope, to estimate patients' AHI. In this article, we perform a monocentric proof-of-concept study with a first manual scoring step, and then an automatic detection of respiratory events from the recorded signals using a sequential deep-learning model which was released internally at Apneal at the end of 2022 (version 0.1 of Apneal automatic scoring of respiratory events), in adult patients during in-hospital polysomnography.46 patients (women 34 per cent, mean BMI 28.7 kg per m2) were included. For AHI superior to 15, sensitivity of manual scoring was 0.91, and positive predictive value (PPV) 0.89. For AHI superior to 30, sensitivity was 0.85, PPV 0.94. We obtained an AUC-ROC of 0.85 and an AUC-PR of 0.94 for the identification of AHI superior to 15, and AUC-ROC of 0.95 and AUC-PR of 0.93 for AHI superior to 30. Promising results are obtained for the automatic annotations of events.This article shows that manual scoring of smartphone-based signals is possible and accurate compared to PSG-based scorings. Automatic scoring method based on a deep learning model provides promising results. A larger multicentric validation study, involving subjects with different SAHS severity is required to confirm these results.","RAYYAN-INCLUSION: {""Đặng Gia""=>""Excluded""} | USER-NOTES: {""Đặng Gia""=>[""IC-P, IC-I, IC-C, IC-E"", ""IC-L, IC-T, IC-Y, IC-P, IC-C, IC-E"", ""EC-W""]}",,"",,
rayyan-642890876,Estimating Respiratory Effort from Nocturnal Breathing Sounds for Obstructive Sleep Apnoea Screening,2025,1,1,,,,,,Xiaolei Xu and Chaoyue Niu and Guy J. Brown and Hector Romero and Ning Ma,http://arxiv.org/abs/2509.14944v2,,,,"Obstructive sleep apnoea (OSA) is a prevalent condition with significant health consequences, yet many patients remain undiagnosed due to the complexity and cost of over-night polysomnography. Acoustic-based screening provides a scalable alternative, yet performance is limited by environmental noise and the lack of physiological context. Respiratory effort is a key signal used in clinical scoring of OSA events, but current approaches require additional contact sensors that reduce scalability and patient comfort. This paper presents the first study to estimate respiratory effort directly from nocturnal audio, enabling physiological context to be recovered from sound alone. We propose a latent-space fusion framework that integrates the estimated effort embeddings with acoustic features for OSA detection. Using a dataset of 157 nights from 103 participants recorded in home environments, our respiratory effort estimator achieves a concordance correlation coefficient of 0.48, capturing meaningful respiratory dynamics. Fusing effort and audio improves sensitivity and AUC over audio-only baselines, especially at low apnoea-hypopnoea index thresholds. The proposed approach requires only smartphone audio at test time, which enables sensor-free, scalable, and longitudinal OSA monitoring.","RAYYAN-INCLUSION: {""Đặng Gia""=>""Included""} | USER-NOTES: {""Đặng Gia""=>[""IC-P, IC-I, IC-C, IC-E"", ""IC-L, IC-T, IC-Y, IC-P, IC-C, IC-E""]}",,"",,
rayyan-642890879,Automatic Classification of OSA related Snoring Signals from Nocturnal Audio Recordings,2021,1,1,,,,,,Arun Sebastian and Peter A. Cistulli and Gary Cohen and Philip de Chazal,http://arxiv.org/abs/2102.12829v2,,,,"In this study, the development of an automatic algorithm is presented to classify the nocturnal audio recording of an obstructive sleep apnoea (OSA) patient as OSA related snore, simple snore and other sounds. Recent studies has been shown that knowledge regarding the OSA related snore could assist in identifying the site of airway collapse. Audio signal was recorded simultaneously with full-night polysomnography during sleep with a ceiling microphone. Time and frequency features of the nocturnal audio signal were extracted to classify the audio signal into OSA related snore, simple snore and other sounds. Two algorithms were developed to extract OSA related snore using an linear discriminant analysis (LDA) classifier based on the hypothesis that OSA related snoring can assist in identifying the site-of-upper airway collapse. An unbiased nested leave-one patient-out cross-validation process was used to select a high performing feature set from the full set of features. Results indicated that the algorithm achieved an accuracy of 87% for identifying snore events from the audio recordings and an accuracy of 72% for identifying OSA related snore events from the snore events. The direct method to extract OSA-related snore events using a multi-class LDA classifier achieved an accuracy of 64% using the feature selection algorithm. Our results gives a clear indication that OSA-related snore events can be extracted from nocturnal sound recordings, and therefore could potentially be used as a new tool for identifying the site of airway collapse from the nocturnal audio recordings.","RAYYAN-INCLUSION: {""Đặng Gia""=>""Included""} | USER-NOTES: {""Đặng Gia""=>[""IC-P, IC-I, IC-C, IC-E"", ""IC-L, IC-T, IC-Y, IC-P, IC-C, IC-E""]}",,"",,
rayyan-642890881,"A Snoring Sound Dataset for Body Position Recognition: Collection, Annotation, and Analysis",2023,1,1,,,,,,Li Xiao and Xiuping Yang and Xinhong Li and Weiping Tu and Xiong Chen and Weiyan Yi and Jie Lin and Yuhong Yang and Yanzhen Ren,http://arxiv.org/abs/2307.13346v1,,,,"Obstructive Sleep Apnea-Hypopnea Syndrome (OSAHS) is a chronic breathing disorder caused by a blockage in the upper airways. Snoring is a prominent symptom of OSAHS, and previous studies have attempted to identify the obstruction site of the upper airways by snoring sounds. Despite some progress, the classification of the obstruction site remains challenging in real-world clinical settings due to the influence of sleep body position on upper airways. To address this challenge, this paper proposes a snore-based sleep body position recognition dataset (SSBPR) consisting of 7570 snoring recordings, which comprises six distinct labels for sleep body position: supine, supine but left lateral head, supine but right lateral head, left-side lying, right-side lying and prone. Experimental results show that snoring sounds exhibit certain acoustic features that enable their effective utilization for identifying body posture during sleep in real-world scenarios.","RAYYAN-INCLUSION: {""Đặng Gia""=>""Excluded""} | USER-NOTES: {""Đặng Gia""=>[""IC-P, IC-I, IC-C, IC-E"", ""EC-W""]}",,"",,
rayyan-642890885,"A Sleep Monitoring System Based on Audio, Video and Depth Information",2025,1,1,,,,,,Lyn Chao-ling Chen and Kuan-Wen Chen and Yi-Ping Hung,http://arxiv.org/abs/2512.06282v1,,,,"For quantitative evaluation of sleep disturbances, a noninvasive monitoring system is developed by introducing an event-based method. We observe sleeping in home context and classify the sleep disturbances into three types of events: motion events, light-on/off events and noise events. A device with an infrared depth sensor, a RGB camera, and a four-microphone array is used in sleep monitoring in an environment with barely light sources. One background model is established in depth signals for measuring magnitude of movements. Because depth signals cannot observe lighting changes, another background model is established in color images for measuring magnitude of lighting effects. An event detection algorithm is used to detect occurrences of events from the processed data of the three types of sensors. The system was tested in sleep condition and the experiment result validates the system reliability.","RAYYAN-INCLUSION: {""Đặng Gia""=>""Excluded""} | USER-NOTES: {""Đặng Gia""=>[""IC-P, IC-I, IC-C, IC-E"", ""IC-Y""]}",,"",,
rayyan-642890888,Integrating Health Sensing into Cellular Networks: Human Sleep Monitoring Using 5G Signals,2026,1,1,,,,,,Ruxin Lin and Peihao Yan and Jie Lu and Qijun Wang and Huacheng Zeng,http://arxiv.org/abs/2603.02558v1,,,,"Cellular networks offer a unique opportunity to enable device-free and wide-area health monitoring by exploiting the sensitivity of radio-frequency (RF) propagation to human physiological activities. In this paper, we present the first experimental study of human sleep monitoring using realistic 5G signals collected from commercial cellular infrastructure. We investigate a practical scenario in which a smartphone is placed near a bed, and a 5G base station periodically configures uplink sounding reference signal (SRS) transmissions to obtain fine-grained channel state information (CSI). Leveraging uplink CSI measurements, we design a lightweight signal processing pipeline for respiration rate estimation and a CNN model for sleep body movement classification. Through extensive experiments conducted on an indoor private 5G network, our system achieves over 91.2% accuracy in respiration rate estimation and 85.5% accuracy in sleep movement classification.","RAYYAN-INCLUSION: {""Đặng Gia""=>""Excluded""} | USER-NOTES: {""Đặng Gia""=>[""IC-P, IC-I, IC-C, IC-E"", ""IC-C, IC-I""]}",,"",,
rayyan-642890889,who is snoring? snore based user recognition,2023,1,1,,,,,,Shenghao Li and Jagmohan Chauhan,http://arxiv.org/abs/2301.12209v1,,,,"Snoring is one of the most prominent symptoms of Obstructive Sleep Apnea-Hypopnea Syndrome (OSAH), a highly prevalent disease that causes repetitive collapse and cessation of the upper airway. Thus, accurate snore sound monitoring and analysis is crucial. However, the traditional monitoring method polysomnography (PSG) requires the patients to stay at a sleep clinic for the whole night and be connected to many pieces of equipment. An alternative and less invasive way is passive monitoring using a smartphone at home or in the clinical settings. But, there is a challenge: the environment may be shared by people such that the raw audio may contain the snore activities of the bed partner or other person. False capturing of the snoring activity could lead to critical false alarms and misdiagnosis of the patients. To address this limitation, we propose a hypothesis that snore sound contains unique identity information which can be used for user recognition. We analyzed various machine learning models: Gaussian Mixture Model (GMM), GMM-UBM (Universial Background Model), and a Deep Neural Network (DNN) on MPSSC - an open source snoring dataset to evaluate the validity of our hypothesis. Our results are promising as we achieved around 90% accuracy in identification and verification tasks. This work marks the first step towards understanding the practicality of snore based user monitoring to enable multiple healthcare applicaitons.","RAYYAN-INCLUSION: {""Đặng Gia""=>""Included""} | USER-NOTES: {""Đặng Gia""=>[""IC-P, IC-I, IC-C, IC-E"", ""IC-L, IC-T, IC-Y, IC-P, IC-C, IC-E""]}",,"",,
rayyan-642890902,Pavlok-Nudge: A Feedback Mechanism for Atomic Behaviour Modification with Snoring Usecase,2023,1,1,,,,,,Md Rakibul Hasan and Shreya Ghosh and Pradyumna Agrawal and Zhixi Cai and Abhinav Dhall and Tom Gedeon,http://arxiv.org/abs/2305.06110v5,,,,"This paper proposes an atomic behaviour intervention strategy using the Pavlok wearable device. Pavlok utilises beeps, vibration and shocks as a mode of aversion technique to help individuals with behaviour modification. While the device can be useful in certain periodic daily life situations, like alarms and exercise notifications, it relies on manual operations that limit its usage. To automate behaviour modification, we propose a framework that first detects targeted behaviours through a lightweight deep learning model and subsequently nudges the user. Our proposed solution is implemented and verified in the context of snoring, which captures audio from the environment following a prediction of whether the audio content is a snore or not using a lightweight 1D convolutional neural network. Based on the prediction, we use Pavlok to nudge users for preventive measures, such as a change in sleeping posture. We believe that this simple solution can help people change their atomic habits, which may lead to long-term health benefits. Our proposed lightweight model (99.8% fewer parameters over SOTA; 790,273$\rightarrow$1,337) achieves SOTA test accuracy of 0.99 on a public benchmark. The code and model are publicly available at https://github.com/hasan-rakibul/pavlok-nudge-snore.","RAYYAN-INCLUSION: {""Đặng Gia""=>""Excluded""} | USER-NOTES: {""Đặng Gia""=>[""EC-W""]}",,"",,
rayyan-642890939,Snoring-based obstructive sleep apnea screening and AHI estimation with an adapted pretrained audio model,2026,1,1,,,,,,Heng Li and Yun Lu and Yukun Qian and Lianyu Zhou and Mingjiang Wang and Hanrong Cheng,https://doi.org/10.1088/1361-6579/ae6f6a,,,,"Abstract
                  
                    Objective.
                    Obstructive sleep apnea (OSA) is a common sleep disorder that, if left untreated, can lead to serious health problems. Snoring is a typical symptom of OSA and is commonly used to develop non-contact automatic detection methods for apnea states during sleep. However, scarce snoring data and subject heterogeneity hinder model generalization to unseen subjects.
                    Approach.
                    This study proposed a snoring-based framework for OSA detection and apnea-hypopnea index (AHI) estimation. First, the OSA detection model is based on pretrained audio model Wav2vec 2.0. Considering the high computational complexity of the pretrained model, we adapt Wav2vec 2.0 through two complementary strategies. A layer dropping approach was proposed to prune redundant higher Transformer encoder layers to reduce computational burden while retaining low-level and mid-level acoustic representations relevant to snoring pathology. A cross-layer attention mechanism was introduced to integrate complementary features from different Transformer layers, balancing fine-grained acoustic detail with contextual information. Second, by simulating clinical AHI calculation processes, we introduced statistics including both absolute counts and ratio-based measures to build a regression model for AHI estimation.
                    Main results.
                    Evaluations under subject-dependent and subject-independent settings showed that the proposed framework achieved high abnormal-snoring detection performance with a trade-off between accuracy and computational cost. For AHI estimation, it achieved a mean absolute error of about 11 events h
                    
                      
                        
                      
                      
                        
                          
                            
                            
                              −
                              1
                            
                          
                        
                      
                    
                    and a Pearson correlation coefficient of 0.81.
                    Significance.
                    These results suggest that the task-adapted pretrained model can enhance generalization across unseen subjects and provide preliminary evidence of the feasibility of snoring-based OSA initial screening and AHI estimation.","RAYYAN-INCLUSION: {""Đặng Gia""=>""Excluded""} | USER-NOTES: {""Đặng Gia""=>[""IC-P, IC-I, IC-C, IC-E"", ""no acess""]}",10.1088/1361-6579/ae6f6a,"",,
rayyan-642890941,A Two-Stage Audio Cascade with Coordinate Attention for On-Device Snore and Sleep Apnea Detection,,1,1,,,,,,Yang L.,https://doi.org/10.21203/rs.3.rs-10154077/v1,,,,"Abstract
                Smartphone audio offers a non-contact, low-cost path to sleep-health screening at scale. We present a two-stage on-device cascade for audio-based detection of sleep-disordered breathing. Stage 1 is a compact 2D convolutional neural network (CNN) that classifies each 1-second audio segment, represented as a 15 × 13 Mel-frequency cepstral coefficient matrix, as snore or non-snore. Its per-second binary output, together with sound pressure level and its rate of change, forms a 200 × 3 feature matrix sampled at 1 Hz that is the input to Stage 2, a long-window classifier that decides whether a 200-second window contains an apnea or hypopnea event. For Stage 2 we adapt Coordinate Attention, originally designed for 2D vision, to one-dimensional time series through a global–local fusion that preserves temporal position in a time-by-channel attention map, and compare it against a vanilla 1D CNN and an SE-Attention CNN. On 13,538 one-second segments and 2,953 PSG-labeled 200-second windows from 80 person-nights across 40 participants, evaluated across five seeds with 95% bootstrap confidence intervals, Stage 1 reaches 94.29% accuracy and Stage 2 reaches 87.14% accuracy and 86.94% F1 with only 14,001 parameters — a 93.2% reduction over the baseline — improving six of seven metrics over it. Against SE-Attention, the Coordinate-Attention model gains in precision and specificity rather than F1 or AUC. The cascade's ultra-compact intermediate representation (about 600 values per window) suits on-device inference.","RAYYAN-INCLUSION: {""Đặng Gia""=>""Included""} | USER-NOTES: {""Đặng Gia""=>[""IC-P, IC-I, IC-C, IC-E"", ""IC-L, IC-T, IC-Y, IC-P, IC-C, IC-E""]}",10.21203/rs.3.rs-10154077/v1,"",,
rayyan-642890945,1375 Multi-Night Validation of a Smart Bed for Apnea Detection and AHI Estimation,2025,1,1,,,,,,Farzad Siyahjani and Kostiantyn Kalenyk and Saeed Babaeizadeh and Gary Garcia Molina,https://doi.org/10.1093/sleep/zsaf090.1375,,,,"Abstract
               
                  Introduction
                  Traditional sleep apnea diagnosis typically relies on single-night assessments, which may overlook night-to-night variations in respiratory events. Accurate estimation of the apnea-hypopnea index (AHI) requires multi-night monitoring, preferably leveraging unobtrusive monitoring methods. This study validates the Sleep Number smart bed’s apnea detection algorithm against CerebraTM level 3 In-home Sleep Apnea Testing (HSAT) device for single-night monitoring and introduces and extends its application to multi-night K-AHI estimation. Instead of using smoothing or filtering methods on single night AHIs which generally overlook AHI weights for different nights, we propose the K-AHI index: count of all detected apneic events divided by total sleep hours in K sessions. We also examine the number of nights (K) necessary for reliable AHI assessment, using the HSAT device as a reference. The study received Institutional Review Board (IRB) approval (#P20220412, Allendale IRB), with all team members properly certified.
               
               
                  Methods
                  Data were collected for 93 nights using both the HSAT device and Sleep Number beds and 990 nights with only Sleep Number bed’s ballistocardiograph (BCG) sensor from 11 participants (Age: mean 46.3 ± 6.5 years, Male/Female ratio 7/4, AHI mean 17.86 ± 12.1). Only six nights with missing or short sleep data were excluded from the analysis. Apnea episodes were detected every second by a BCG-processing deep neural network, marking an episode as apneic if it lasted at least 10 seconds. The K-AHI was then calculated for K = 1,..., 31. The HSAT device showed an average nightly AHI standard deviation of 5.8 across participants.
               
               
                  Results
                  The smart bed’s ability to detect AHI &amp;gt; 10 showed a sensitivity of 88% and specificity of 67% and Receiver Operating Characteristic Area Under the Curve (ROC-AUC) of.80 across the 87 nights when compared to the HSAT device on single night. Aggregating data over 14 nights, the smart bed achieved the highest (ROC-AUC) of 0.85 for detecting AHI &amp;gt; 10, with sensitivity and specificity of 94% and 73% respectively.
               
               
                  Conclusion
                  The smart bed’s apnea detection and KAHI metric show promising potential for seamless apnea risk monitoring, serving as an effective early indicator for undiagnosed individuals and enhancing early detection and intervention.
               
               
                  Support (if any)","RAYYAN-INCLUSION: {""Đặng Gia""=>""Excluded""} | USER-NOTES: {""Đặng Gia""=>[""IC-P, IC-I, IC-C, IC-E"", ""EC-S""]}",10.1093/sleep/zsaf090.1375,"",,
rayyan-642890950,ApneaWhisper: Transformer-Based Audio Segmentation for Fine-Grained Non-Invasive Sleep Apnea Detection,2025,1,1,,,,,,Yunu Kim and Myeongbin Kim and Jaemyung Shin and Minsam Ko,https://doi.org/10.2147/nss.s553774,,,,"<h4>Purpose</h4>Sleep apnea is a prevalent sleep disorder with serious health implications. This study introduces ApneaWhisper, a Transformer-based audio segmentation model designed for noninvasive detection of sleep apnea subtypes using PSG-Audio data.<h4>Patients and methods</h4>We utilized a PSG-Audio dataset from 284 patients. ApneaWhisper leverages a pretrained Whisper encoder to extract 10 ms-resolution frame-level features from 20-second audio clips. A lightweight Transformer decoder with token-based segmentation and a classification head aggregates these features for both frame-level and clip-level predictions. The model was fine-tuned using class-balanced cross-entropy loss to address data imbalance across apnea subtypes.<h4>Results</h4>ApneaWhisper achieved strong performance for sleep apnea detection, with a clip-level F1-score of 0.82 and a frame-level F1-score of 0.70, outperforming conventional baselines including MFCC+DNN, VGGish+bi-LSTM, and VAD-based models. It also showed promising ability in distinguishing between OSA, MSA, CSA, and hypopnea, though with varying success.<h4>Conclusion</h4>The model's fine-grained temporal resolution enables precise apnea event localization, duration estimation, and subtype classification. While ApneaWhisper performs robustly for OSA, challenges remain in distinguishing central (CSA) and mixed (MSA) sleep apnea, due to subtle or ambiguous acoustic patterns. The frame-level segmentation also facilitates accurate apnea-hypopnea index (AHI) estimation, which could reduce dependence on full PSG studies in certain clinical and home-monitoring scenarios. Future improvements may involve multimodal integration (eg, oxygen saturation) and noise-robust training techniques.","RAYYAN-INCLUSION: {""Đặng Gia""=>""Included""} | USER-NOTES: {""Đặng Gia""=>[""IC-P, IC-I, IC-C, IC-E"", ""IC-L, IC-T, IC-Y, IC-P, IC-C, IC-E""]}",10.2147/nss.s553774,"",,
