key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,v2_decision,v2_reason,note,doi,keywords,pubmed_id,pmc_id
rayyan-662998260,"Proposition of a new, minimally-invasive, software smartphone device to predict sleep apnea and its severity.",2025,1,1,,,,,,Frija J and Millet J and Béquignon E and Covali A and Cathelain G and Houenou J and Benzaquen H and Geoffroy PA and Bacry E and Grajoszex M and d'Ortho MP,https://pubmed.ncbi.nlm.nih.gov/40911165/,,,,"PURPOSE: obstructive sleep apnea is underdiagnosed due to limited access to polysomnography (PSG). We aimed to assess the performances of Apneal®, an application recording sound and movements thanks to a smartphone's microphone, accelerometer and gyroscope, to estimate patients' apnea-hypopnea index (AHI).
METHODS: monocentric proof-of-concept study with a first manual scoring step, then automatic detection of respiratory events from recorded signals using a sequential deep-learning model (version 0.1 of Apneal® automatic scoring of respiratory events, end 2022), in adult patients.
RESULTS: 46 patients (women 34%, BMI 28.7 kg/m²) were included. Sensitivity of manual scoring was 0.91 (95% CI [0.8-1]) for IAH > 15 and 0.85 [0.67-1] for AHI > 30, and positive predictive values (PPV) 0.89 [0.76-0.97] and 0.94 [0.8-1]. We obtained an AUC-ROC of 0.85 (95% CI [0.69-0.96]) and AUC-PR of 0.94 (95% CI [0.84-0.99]) for the identification of AHI > 15, and AUC-ROC of 0.95 [0.860.99] and AUC-PR of 0.93 [0.81-0.99] for AHI > 30. The ICC between the AHI estimated manually, and from the PSG is 0.89 (p = 6.7 × 10- 17), Pearson correlation 0.90 (p = 1.25 × 10- 17). Automatic scoring found sensitivity of 1 [0.95-1], PPV of 0.9 [0.8-0.9] for AHI > 15, and sensitivity 0.95 [0.84-1], PPV 0.69 [0.52-0.85] for AHI > 30. The ICC between the estimated AHI, and PSG scorings is 0.84 (p = 5.4 × 10- 11) and Pearson correlation is 0.87 (p = 1.7 × 10- 12).
CONCLUSION: Manual scoring of smartphone-based signals is possible and accurate compared to PSG-based scorings. Automatic scoring method based on a deep learning model provides promising results.
TRIAL REGISTRATION: NCT03803098.",Included,,rất phù hợp,10.1007/s11325-025-03441-w,,,
rayyan-662998263,Obstructive Sleep Apnea Detection Based on Sleep Sounds via Deep Learning.,2022,1,1,,,,,,Wang B and Tang X and Ai H and Li Y and Xu W and Wang X and Han D,https://pubmed.ncbi.nlm.nih.gov/36394068/,,,,"PURPOSE: This study aimed to propose a novel deep-learning method for automatic sleep apneic event detection and thus to estimate the apnea hypopnea index (AHI) and identify obstructive sleep apnea (OSA) in an event-by-event manner solely based on sleep sounds obtained by a noncontact audio recorder.
METHODS: We conducted a cross-sectional study of participants with habitual snoring or heavy breathing sounds during sleep to train and test a deep convolutional neural network named OSAnet for the detection of OSA based on sleep sounds. Polysomnography (PSG) was conducted, and sleep sounds were recorded simultaneously in a regular room without noise attenuation. The study was conducted in two phases. In phase one, eligible participants were enrolled and randomly allocated into training and validation groups for deep learning algorithm development. In phase two, eligible patients were enrolled in a test group for algorithm assessment. Sensitivity, specificity, accuracy, unweighted Cohen kappa coefficient (κ) and the area under the curve (AUC) were calculated using PSG as the reference standard.
RESULTS: A total of 135 participants were randomly divided into a training group (n, 116) and a validation group (n, 19). An independent test group of 59 participants was subsequently enrolled. Our algorithm achieved a precision of 0.81 and sensitivity of 0.78 in the test group for overall sleep event detection. The algorithm exhibited robust diagnostic performance to identify severe cases with a sensitivity of 95.6% and specificity of 91.6%.
CONCLUSION: Our results showed that a deep learning algorithm based on sleep sounds recorded by a noncontact voice recorder served as a feasible tool for apneic event detection and OSA identification. This technique may hold promise for OSA assessment in the community in a relatively comfortable and low-cost manner. Further studies to develop a tool based on a home-based setting are warranted.",Included,,"rất phù hợp ; Kỹ thuật kế thừa, dataset",10.2147/nss.s373367,,,
rayyan-662998267,Acoustic Screening for Obstructive Sleep Apnea in Home Environments Based on Deep Neural Networks.,2022,1,1,,,,,,Romero HE and Ma N and Brown GJ and Hill EA,https://pubmed.ncbi.nlm.nih.gov/35213321/,,,,"Obstructive sleep apnea (OSA) is a chronic and prevalent condition with well-established comorbidities. However, many severe cases remain undiagnosed due to poor access to polysomnography (PSG), the gold standard for Obstructive sleep apnea (OSA) diagnosis. Accurate home-based methods to screen for OSA are needed, which can be applied inexpensively to high-risk subjects to identify those that require PSG to fully assess their condition. A number of methods that analyse speech or breathing sounds to screen for OSA have been previously investigated. However, these methods have constraints that limit their use in home environments (e.g., they require specialised equipment, are not robust to background noise, are obtrusive or depend on tightly controlled conditions). This paper proposes a novel method to screen for OSA, which analyses sleep breathing sounds recorded with a smartphone at home. Audio recordings made over a whole night are divided into segments, each of which is classified for the presence or absence of OSA by a deep neural network. The apnea-hypopnea index estimated from the segments predicted as containing evidence of OSA is then used to screen for the condition. Audio recordings made during home sleep apnea testing from 103 participants for 1 or 2 nights were used to develop and evaluate the proposed system. When screening for moderate OSA the acoustics based system achieved a sensitivity of 0.79 and a specificity of 0.80. The sensitivity and specificity when screening for severe OSA were 0.78 and 0.93, respectively. The system is suitable for implementation on consumer smartphones.",Included,,Kế thừa quy trình xử lý âm thanh thô sang dạng Mel-spectrogram và kiến trúc mạng học sâu CNN,10.1109/jbhi.2022.3154719,,,
rayyan-662998277,Screening for obstructive sleep apnea with novel hybrid acoustic smartphone app technology.,2020,1,1,,,,,,Tiron R and Lyon G and Kilroy H and Osman A and Kelly N and O'Mahony N and Lopes C and Coffey S and McMahon S and Wren M and Conway K and Fox N and Costello J and Shouldice R and Lederer K and Fietze I and Penzel T,https://pubmed.ncbi.nlm.nih.gov/32944361/,,,,"BACKGROUND: Obstructive sleep apnea (OSA) has a high prevalence, with an estimated 425 million adults with apnea hypopnea index (AHI) of ≥15 events/hour, and is significantly underdiagnosed. This presents a significant pain point for both the sufferers, and for healthcare systems, particularly in a post COVID-19 pandemic world. As such, it presents an opportunity for new technologies that can enable screening in both developing and developed countries. In this work, the performance of a non-contact OSA screener App that can run on both Apple and Android smartphones is presented.
METHODS: The subtle breathing patterns of a person in bed can be measured via a smartphone using the ""Firefly"" app technology platform [and underpinning software development kit (SDK)], which utilizes advanced digital signal processing (DSP) technology and artificial intelligence (AI) algorithms to identify detailed sleep stages, respiration rate, snoring, and OSA patterns. The smartphone is simply placed adjacent to the subject, such as on a bedside table, night stand or shelf, during the sleep session. The system was trained on a set of 128 overnights recorded at a sleep laboratory, where volunteers underwent simultaneous full polysomnography (PSG), and ""Firefly"" smartphone app analysis. A separate independent test set of 120 recordings was collected across a range of Apple iOS and Android smartphones, and withheld for performance evaluation by a different team. An operating point tuned for mid-sensitivity (i.e., balancing sensitivity and specificity) was chosen for the screener.
RESULTS: The performance on the test set is comparable to ambulatory OSA screeners, and other smartphone screening apps, with a sensitivity of 88.3% and specificity of 80.0% [with receiver operating characteristic (ROC) area under the curve (AUC) of 0.92], for a clinical threshold for the AHI of ≥15 events/hour of detected sleep time.
CONCLUSIONS: The ""Firefly"" app based sensing technology offers the potential to significantly lower the barrier of entry to OSA screening, as no hardware (other than the user's personal smartphone) is required. Additionally, multi-night analysis is possible in the home environment, without requiring the wearing of a portable PSG or other home sleep test (HST).",Excluded,EC-02,phương pháp lỗi thời,10.21037/jtd-20-804,,,
rayyan-662998282,Convolutional Neural Networks for Apnea Detection from Smartphone Audio Signals: Effect of Window Size.,2022,1,1,,,,,,Castillo-Escario Y and Werthen-Brabants L and Groenendaal W and Deschrijver D and Jane R,https://pubmed.ncbi.nlm.nih.gov/36085651/,,,,"Although sleep apnea is one of the most prevalent sleep disorders, most patients remain undiagnosed and untreated. The gold standard for sleep apnea diagnosis, polysomnography, has important limitations such as its high cost and complexity. This leads to a growing need for novel cost-effective systems. Mobile health tools and deep learning algorithms are nowadays being proposed as innovative solutions for automatic apnea detection. In this work, a convolutional neural network (CNN) is trained for the identification of apnea events from the spectrograms of audio signals recorded with a smartphone. A systematic comparison of the effect of different window sizes on the model performance is provided. According to the results, the best models are obtained with 60 s windows (sensitivity-0.72, specilicity-0.89, AUROC = 0.88), For smaller windows, the model performance can be negatively impacted, because the windows become shorter than most apnea events, by which sound reductions can no longer be appreciated. On the other hand, longer windows tend to include multiple or mixed events, that will confound the model. This careful trade-off demonstrates the importance of selecting a proper window size to obtain models with adequate predictive power. This paper shows that CNNs applied to smartphone audio signals can facilitate sleep apnea detection in a realistic setting and is a first step towards an automated method to assist sleep technicians. Clinical Relevance- The results show the effect of the window size on the predictive power of CNNs for apnea detection. Furthermore, the potential of smartphones, audio signals, and deep neural networks for automatic sleep apnea screening is demonstrated.",Excluded,EC-02,MARGINAL - giá trị thực nghiệm về thuật toán - chứng minh cửa sổ 60 giây là tối ưu nhất,10.1109/embc48229.2022.9871396,,,
rayyan-662998285,ApneaWhisper: Transformer-Based Audio Segmentation for Fine-Grained Non-Invasive Sleep Apnea Detection.,2025,1,1,,,,,,Kim Y and Kim M and Shin J and Ko M,https://pubmed.ncbi.nlm.nih.gov/41069504/,,,,"PURPOSE: Sleep apnea is a prevalent sleep disorder with serious health implications. This study introduces ApneaWhisper, a Transformer-based audio segmentation model designed for noninvasive detection of sleep apnea subtypes using PSG-Audio data.
PATIENTS AND METHODS: We utilized a PSG-Audio dataset from 284 patients. ApneaWhisper leverages a pretrained Whisper encoder to extract 10 ms-resolution frame-level features from 20-second audio clips. A lightweight Transformer decoder with token-based segmentation and a classification head aggregates these features for both frame-level and clip-level predictions. The model was fine-tuned using class-balanced cross-entropy loss to address data imbalance across apnea subtypes.
RESULTS: ApneaWhisper achieved strong performance for sleep apnea detection, with a clip-level F1-score of 0.82 and a frame-level F1-score of 0.70, outperforming conventional baselines including MFCC+DNN, VGGish+bi-LSTM, and VAD-based models. It also showed promising ability in distinguishing between OSA, MSA, CSA, and hypopnea, though with varying success.
CONCLUSION: The model's fine-grained temporal resolution enables precise apnea event localization, duration estimation, and subtype classification. While ApneaWhisper performs robustly for OSA, challenges remain in distinguishing central (CSA) and mixed (MSA) sleep apnea, due to subtle or ambiguous acoustic patterns. The frame-level segmentation also facilitates accurate apnea-hypopnea index (AHI) estimation, which could reduce dependence on full PSG studies in certain clinical and home-monitoring scenarios. Future improvements may involve multimodal integration (eg, oxygen saturation) and noise-robust training techniques.",Included,,MARGINAL - tài liệu mới nhất và tối tân nhất (SOTA) - Mô hình ApneaWhisper,10.2147/nss.s553774,,,
rayyan-662998291,AHI estimation of OSAHS patients based on snoring classification and fusion model.,2023,1,1,,,,,,Song Y and Sun X and Ding L and Peng J and Song L and Zhang X,https://pubmed.ncbi.nlm.nih.gov/37392727/,,,,"Obstructive sleep apnea-hypopnea syndrome (OSAHS) is a chronic and common sleep-breathing disease that could negatively influence lives of patients and cause serious concomitant diseases. Polysomnography(PSG) is the gold standard for diagnosing OSAHS, but it is expensive and requires overnight hospitalization. Snoring is a typical symptom of OSAHS. This study proposes an effective OSAHS screening method based on snoring sound analysis. Snores were labeled as OSAHS related snoring sounds and simple snoring sounds according to real-time PSG records. Three models were used, including acoustic features combined with XGBoost, Mel-spectrum combined with convolution neural network (CNN), and Mel-spectrum combined with residual neural network (ResNet). Further, the three models were fused by soft voting to detect these two types of snoring sounds. The subject's apnea-hypopnea index (AHI) was estimated according to these recognized snoring sounds. The accuracy and recall of the proposed fusion model achieved 83.44% and 85.27% respectively, and the predicted AHI has a Pearson correlation coefficient of 0.913 (R2 = 0.834, p < 0.001) with PSG. The results demonstrate the validity of predicting AHI based on analysis of snoring sound and show great potential for monitoring OSAHS at home.",Excluded,EC-A,,10.1016/j.amjoto.2023.103964,,,
rayyan-662998299,Non-contact acoustic screening for sleep apnea: a subject-aware deep learning approach.,2026,1,1,,,,,,Aygün Çakıroğlu M and Kızılkaya Aydoğan E and Bolattürk ÖF and Aydoğan S and İsmailoğulları S and Delice Y,https://pubmed.ncbi.nlm.nih.gov/41670793/,,,,"PURPOSE: To explore the feasibility of using camera-derived, non-contact audio synchronized with PSG for clinically relevant sleep-apnea classification, and to benchmark compact deep models under a subject-aware design using a previously unstudied, real-world dataset. METHODS: Thirty-two adults underwent simultaneous polysomnography (PSG) and camera-based non-contact audio recording. The synchronized audio segments were used to train and compare three compact deep-learning architectures (convolutional, attention-augmented, and transformer-based) under a subject-aware evaluation design that prevented identity leakage. Model performance and calibration were assessed at both segment and subject levels using standard statistical tests. RESULTS: Subject-level evaluation was based on a very small, imbalanced test set of six subjects (one positive). Within this limited yet previously unstudied local dataset, the CNN_trans model achieved an apparent perfect ranking performance (AUC = 1.00; 95% CI 0.00–1.00), though this likely reflects the small, imbalanced test cohort, with recall = 1.00 and precision = 0.55. The wide confidence interval reflects substantial statistical uncertainty, and DeLong comparisons showed no significant AUC difference between CNN_trans and CNN_att (ΔAUC = − 0.042; p = 0.43). CONCLUSION: PSG-synchronized, non-contact audio supports accurate and well-calibrated sleep-apnea classification with compact deep models. This subject-aware evaluation suggests that contactless acoustic monitoring may have potential clinical relevance, motivating larger, multi-site validation.",Excluded,EC-A,,10.1007/s11325-026-03594-2,,,
rayyan-662998310,Audio source separation to reduce sleeping partner sounds: a simulation study.,2021,1,1,,,,,,Mordoh V and Zigel Y,https://pubmed.ncbi.nlm.nih.gov/34038872/,,,,"Objective.When recording a subject in an at-home environment for sleep evaluation or for other breathing disorder diagnoses using non-contact microphones, the breathing recordings (audio signals) can be distorted by sounds such as TV, outside noise, or air-conditioners. If two people are sleeping together, both may produce breathing/snoring sounds that need to be separated. In this study, we present signal processing and source separation algorithms for the enhancement of individual breathing/snoring audio signals in a simulated environment.Approach.We developed a computer simulation of mixed signals derived from genuine nocturnal recordings of 110 subjects. Two main source separation approaches were tested: (1) changing the basis vectors for the mixtures in the time domain (principal and independent component analysis, PCA/ICA) and (2) converting the mixtures to their time-frequency representations (degenerate un-mixing estimation technique, DUET). In addition to these source separation techniques, a beamforming approach was tested.Main results.The separation results with a reverberation time of 0.15 s and zero SNR between signals showed good performance (mean source to interference ratio (SIR): DUET = 12.831 dB, ICA = 3.388 dB, PCA = 4.452 dB), and for beamforming (SIR = -0.304 dB). To evaluate our source separation results, we propose two new measures: an evaluation measure based on a spectral similarity score (mel-SID) between the target source and its estimation (after separation) and a breathing energy ratio measure (BER). The results with the new proposed measures yielded comparable conclusions (mel-SID: DUET = 1.320, ICA = 2.732, PCA = 1.927, and beamforming = 2.590, BER: DUET = 10.241 dB, ICA = 0.270 dB, PCA = -2.847 dB, and beamforming = -1.151 dB), but better differentiated the differences between the performance of the algorithms. The DUET is superior on all measures. Its main advantage is that it only uses two microphones for separation.Significance. The separated audio signal can thus contribute to a more informed diagnosis of sleep-related and non-sleep-related diseases. The Institutional Review Committee of Soroka University Medical Center approved this study protocol (protocol number 10141) and all methods were performed in accordance with the relevant guidelines and regulations.",Excluded,EC-A,,10.1088/1361-6579/ac0592,,,
rayyan-662998315,Snoring-based obstructive sleep apnea screening and AHI estimation with an adapted pretrained audio model.,2026,1,1,,,,,,Li H and Lu Y and Qian Y and Zhou L and Wang M and Cheng H,https://pubmed.ncbi.nlm.nih.gov/42150594/,,,,"Objective.Obstructive sleep apnea (OSA) is a common sleep disorder that, if left untreated, can lead to serious health problems. Snoring is a typical symptom of OSA and is commonly used to develop non-contact automatic detection methods for apnea states during sleep. However, scarce snoring data and subject heterogeneity hinder model generalization to unseen subjects.Approach.This study proposed a snoring-based framework for OSA detection and apnea-hypopnea index (AHI) estimation. First, the OSA detection model is based on pretrained audio model Wav2vec 2.0. Considering the high computational complexity of the pretrained model, we adapt Wav2vec 2.0 through two complementary strategies. A layer dropping approach was proposed to prune redundant higher Transformer encoder layers to reduce computational burden while retaining low-level and mid-level acoustic representations relevant to snoring pathology. A cross-layer attention mechanism was introduced to integrate complementary features from different Transformer layers, balancing fine-grained acoustic detail with contextual information. Second, by simulating clinical AHI calculation processes, we introduced statistics including both absolute counts and ratio-based measures to build a regression model for AHI estimation.Main results.Evaluations under subject-dependent and subject-independent settings showed that the proposed framework achieved high abnormal-snoring detection performance with a trade-off between accuracy and computational cost. For AHI estimation, it achieved a mean absolute error of about 11 events h-1and a Pearson correlation coefficient of 0.81.Significance.These results suggest that the task-adapted pretrained model can enhance generalization across unseen subjects and provide preliminary evidence of the feasibility of snoring-based OSA initial screening and AHI estimation.",Excluded,"EC-A,no access",,10.1088/1361-6579/ae6f6a,,,
