"STT","Title","Authors","Year","URL_or_DOI","Abstract"
"1","A Cascaded Two-Stage CNN Pipeline for Audio-Based Snore and Sleep Apnea Detection on Smartphones: Reference Baselines with Multi-Seed Validation","Yang L","2026","https://github.com/somnisense/audio-sleep-cnn-baselines","Smartphone-based audio analysis offers a non-contact, low-cost path to sleep health screening at population scale. We present a cascaded two-stage CNN pipeline for audio-based sleep monitoring on consumer mobile devices: a short-window 2D CNN processes 1-second audio segments represented as 15 Ã— 13 Mel-frequency cepstral coefficient (MFCC) matrices and produces a per-segment binary snore-presence indicator; that per-second indicator, together with two scalar acoustic features (sound pressure level and SPL change rate), is assembled into a 200 Ã— 3 time-series feature matrix at 1 Hz sampling that forms the input to a long-window 1D CNN classifying the 200-second observation window as containing a sleep-disordered breathing event or not. The cascade structure â€” Stage-1 detector output forming a feature channel of the Stage-2 classifier's input â€” provides an ultra-compact intermediate representation (200 Ã— 3 â‰ˆ 600 floats per analysis window) suitable for on-device inference on consumer mobile hardware. We evaluate both stages under a multi-seed protocol with 95% bootstrap confidence intervals (10,000 iterations). On a dataset of 13,538 labeled 1-second snore segments and 2,953 labeled 200-second apnea-detection windows â€” derived from 80 person-nights across 40 participants, with PSG event annotations from a mix of in-laboratory PSG (10 nights) and portable / ambulatory PSG with nasal-airflow cannula (70 nights) â€” the two stages achieve, respectively, 94.29% (93.60, 95.02) accuracy with F1 90.28% (89.29, 91.38) for Stage-1 (snore detection), and 83.82% (82.61, 85.14) accuracy with F1 83.99% (82.87, 85.05) for Stage-2 (sleep apnea detection). The two-stage cascade and its compact intermediate representation are presented as reference baselines, with multi-seed bootstrap metrics that can serve as comparison points for downstream methodological work. Data and code availability: The model architectures, training pipeline, and multi-seed bootstrap analysis code are publicly available at https://github.com/somnisense/audio-sleep-cnn-baselines under the MIT License. By design, no audio recordings, labels, or derived feature matrices are distributed with the repository: the original recordings were collected under participant consent that does not cover public release of either the waveforms or the derived features. Competing interests: The author is the founder of SomniAI LLC, the entity that may commercialize the technology described in this work. The methods described are also the subject of three co-filed U.S. provisional patent applications by SomniAI LLC. No external funding was received."
"2","An experimental study on estimating sleep period time using accelerometer and electrodermal activity in ring-shaped wearable devices","E Lee; J Shin; KI Yang; J Cho","2026","https://link.springer.com/article/10.1007/s13534-025-00521-4","… , 11 had both OSA and insomnia, 4 had only OSA, 6 had only … This study developed a sleep monitoring method capable of … Traditional wrist-worn accelerometerbased devices are often …"
"3","Apnea Burden-Guided Framework: Enhancing Out-of-Distribution Generalization in PPG-Based Sleep Apnea Characterization","Mantas RinkeviÄius; Oskar Pfeffer; Amal Alissa; Nando Hegemann; Vaidotas Marozas","2026","http://arxiv.org/abs/2608.12229v1","Sleep apnea is a common sleep-related breathing disorder associated with substantial cardiovascular and metabolic risk. Although overnight polysomnography remains the reference standard for diagnosis, its complexity and cost limit its suitability for long-term preventive monitoring at home. In wearable systems, arterial blood oxygen saturation (SpO2) is commonly used as the main predictor, whereas additional morphological features of the photoplethysmographic (PPG) pulse wave are usually underexplored. This study proposes a novel apnea burden prediction-based framework for sleep apnea severity assessment and investigates the influence of PPG features on model performance and out-of-distribution (OOD) generalization. The proposed framework first predicts apnea burden as a continuous measure, which is subsequently converted into the clinically relevant apnea-hypopnea index for subject-level classification into four severity groups in both in-distribution (ID) and OOD data. Three artificial neural network architectures were evaluated, and the performance metrics were averaged over five independent runs with different fixed random seeds. During OOD testing, the combination of PPG features and SpO2 led to increases of approximately 15.72% in macro-sensitivity, 9.22% in macro-accuracy, 16.01% in macro-F1-score, 11.08% in Cohen's kappa, and 13.22% in Matthews correlation coefficient, compared with using SpO2 alone. The low-complexity convolutional-recurrent models achieved the highest overall performance. The results indicated that the proposed apnea burden-guided framework, combined with PPG features and SpO2, improves sleep apnea characterization while showing encouraging OOD performance on an independent external dataset. Moreover, simpler hybrid architectures demonstrated strong potential for robust home-based preventive monitoring."
"4","Apnea Events Detection using Low-Fidelity Proxy Signals","M Singh; J Srivastava","2026","https://ieeexplore.ieee.org/abstract/document/11634876/","… to reference AHI, comparable to reported performance of consumer sleep monitoring devices in … This work studies AHI estimation from accelerometerderived proxy signals. We transform …"
"5","Apnea-hypopnea index estimation using overnight chest-wall accelerometry","F Schipper; P Fonseca; A Grassi; M Ross","2026","https://www.frontiersin.org/journals/sleep/articles/10.3389/frsle.2026.1858267/pdf","… We developed a method for AHI estimation using an accelerometer on the chest, by combining a cardiorespiratory sleep staging algorithm with an adapted neural network for detecting …"
"6","BreathAI: Transfer Learning-Based Thermal Imaging for Automated Breathing Pattern Recognition","Hamza Kheddar; Yassine Himeur; Abbes Amira","2026","http://arxiv.org/abs/2604.17442v1","This study presents an Adaptive Transfer Learning and Thresholding-based Deep Learning Model (ATL-TDLM) for automated breathing pattern recognition using thermal imaging. Unlike conventional methods that rely on sound-based respiratory data, our approach leverages hierarchical deep feature extraction and adaptive multi-thresholding (AMT) to enhance feature segmentation. The model integrates knowledge distillation-based fine-tuning (KD-FT) to optimize learning transfer and contrastive representation learning (CRL) to improve inter-class separability between inhalation (INH) and exhalation (EXH) phases. The ATL-TDLM framework achieves an accuracy of 98.8%, significantly outperforming state-of-the-art models while ensuring computational efficiency. This approach has potential applications in respiratory disorder detection, including sleep apnea and asthma monitoring."
"7","Clinical validation of a multisensor wearable device (SOUNDI) for the diagnosis of obstructive sleep apnea (OSA)","C Salito; D Bovio; C Lombardi","2026","https://www.nature.com/articles/s41598-026-36290-y_reference.pdf","… uses optical, acoustical, and accelerometer signals for home sleep testing. … of OSA, several devices are currently available to be worn at home by patients during sleep. Sleep monitoring …"
"8","Deep learning for sleep quality assessment: A CNN‐based approach outperforming traditional algorithms in wearable accelerometer data analysis","L Zhongyue; L Yi; L Qing; X Zhengru","2026","https://onlinelibrary.wiley.com/doi/pdf/10.1002/slp2.70048","… Objective: This study evaluates and enhances wearable sleep monitoring by comparing two feature extraction methods: traditional activity counts and deep learning‐derived features. …"
"9","Design and Evaluation of a Multi-Sensor Wearable System for Obstructive Sleep Apnea Risk Assessment","J Lewis; F Alam; AAA Moghadam","2026","https://ieeexplore.ieee.org/abstract/document/11476583/","… for skin temperature, and an accelerometer for motion tracking. Bench… system to capture meaningful OSA-related physiological … Wearable sleep monitoring spans a spectrum from simple …"
"10","Design and Implementation of Low Power Embedded System for OSA Monitoring","K Jin","2026","https://www.utupub.fi/bitstreams/9c00cb14-6232-4150-a5ed-27fc9b255eb9/download","… OSA and generate AHI values that agree with the values generated by commercial sleep monitoring … In this project, an accelerometer sensor is used to record minor movements of the …"
"11","GA-SPARF: Genetic algorithm-tuned random forest for sleep position monitoring using accelerometer","HD Vu; DN Tran; QT Pham; DT Tran","2026","https://link.springer.com/article/10.1007/s11325-026-03584-4","… of diverse positional OSA phenotypes. These findings suggest … systems that utilize accelerometer signals to classify sleep … is sufficient for overnight sleep monitoring. Participants …"
"12","Lightweight ML-Based Automatic Sleep Staging Framework with Constrained CNN and Mamba for Small-Sample EEG Datasets","Zihao Wei; Yulin Gong; Yudan Lv","2026","http://arxiv.org/abs/2607.04934v1","Automatic sleep staging is a key technology for precise diagnosis and treatment of sleep disorders as well as long-term home sleep monitoring. Portable electroencephalogram (EEG) devices have become the focus of research due to their convenience in data collection. However, current methods still face three major challenges: large parameter sizes that easily lead to overfitting on small datasets, low accuracy in classifying difficult stages such as N1 and REM, unclear optimal training dataset size, and difficulty in deployment. This paper proposes GamSleepNet, a lightweight and low-latency automatic sleep staging framework for single-channel EEG. The framework features the FEB module, which combines improved Gabor kernels with learnable filters for feature extraction, uses the Mamba architecture to build a temporal classification network, introduces a novel contrastive loss and a two-stage training strategy, and experimentally validates the optimal dataset size for single-channel EEG sleep staging models. On the Sleepedf dataset, this model achieves an overall accuracy of 87.86 percent with only 30.86 thousand parameters, with all metrics reaching SOTA levels and significantly improving the identification accuracy of challenging sleep stages."
"13","Longitudinal wearable monitoring and polygenic risk for incident major depressive disorder in the All of Us Research Program","Yuezhou Zhang; Amos A. Folarin; Rongrong Zhong; Hyunju Kim; Shaoxiong Sun; Callum Stewart; Richard JB Dobson","2026","http://arxiv.org/abs/2608.06063v1","Major depressive disorder (MDD) risk reflects both stable inherited liability and dynamic behavioral patterns, yet these dimensions are rarely examined together using long-term objective data in real-world settings. Here, we integrated genomic, electronic health record (EHR), and longitudinal Fitbit wearable data from 3,030 adults of genetically inferred European ancestry in the All of Us Research Program, 284 of whom developed EHR-recorded incident MDD after a 180-day baseline period. Time-varying Cox models examined associations of MDD polygenic risk scores (PRS), monthly wearable-derived physical activity and sleep features, and interactions between wearable features and MDD PRS with incident MDD. Higher MDD PRS, lower daily steps, lower light and vigorous physical activity, lower sleep efficiency, and greater sleep duration variability were associated with higher risk of EHR-recorded incident MDD. The associations of sedentary time and sleep duration variability with incident MDD differed across MDD PRS levels, with stronger risk associations among participants with higher MDD PRS. PRS-stratified hazard ratio curves further indicated that comparable estimated risk corresponded to more favorable behavioral levels (such as higher daily step counts and more stable sleep) among participants with higher MDD PRS than among those with lower MDD PRS. Sequentially integrating MDD PRS, baseline wearable features, monthly wearable features, and selected interactions between wearable features and MDD PRS increased model discrimination, with the C-index increasing from 0.637 to 0.705. These findings support the complementary value of inherited liability and longitudinal real-world behavioral monitoring for incident MDD risk characterization and may inform future work on genetically informed digital phenotyping for personalized risk monitoring and prevention."
