title,authors,year,doi,source,url,population,intervention,comparison,outcomes,study_type,confidence_score,abstract
Audio-based snore detection using deep neural networks.,Xie J; Aubert X; Long X; van Dijk J; Arsenali B; Fonseca P; Overeem S,2021.0,10.1016/j.cmpb.2020.105917,pubmed,https://pubmed.ncbi.nlm.nih.gov/33434817/,38 subjects referred to a clinical center for a sleep study,snore detection algorithm based on a combination of a convolutional neural network (CNN) and a recurrent neural network (RNN),,accuracy of 95.3 Â± 0.5%; sensitivity of 92.2 Â± 0.9%; specificity of 97.7 Â± 0.4%; best accuracy of 95.9% from microphone placed 70 cm above the subject's head; worst accuracy of 94.4% from microphone placed 130 cm above the subject's head,,0.9,"BACKGROUND AND OBJECTIVE: Snoring is a prevalent phenomenon. It may be benign, but can also be a symptom of obstructive sleep apnea (OSA) a prevalent sleep disorder. Accurate detection of snoring may help with screening and diagnosis of OSA."
,,,,,,,,,,,,"METHODS: We introduce a snore detection algorithm based on the combination of a convolutional neural network (CNN) and a recurrent neural network (RNN). We obtained audio recordings of 38 subjects referred to a clinical center for a sleep study. All subjects were recorded by a total of 5 microphones placed at strategic positions around the bed. The CNN was used to extract features from the sound spectrogram, while the RNN was used to process the sequential CNN output and to classify the audio events to snore and non-snore events. We also addressed the impact of microphone placement on the performance of the algorithm."
,,,,,,,,,,,,"RESULTS: The algorithm achieved an accuracy of 95.3 Â± 0.5%, a sensitivity of 92.2 Â± 0.9%, and a specificity of 97.7 Â± 0.4% over all microphones in snore detection on our data set including 18412 sound events. The best accuracy (95.9%) was observed from the microphone placed about 70 cm above the subject's head and the worst (94.4%) was observed from the microphone placed about 130 cm above the subject's head."
,,,,,,,,,,,,CONCLUSION: Our results suggest that our method detects snore events from audio recordings with high accuracy and that microphone placement does not have a major impact on detection performance.
SST: a snore shifted-window transformer method for potential obstructive sleep apnea patient diagnosis.,Luo J; Zhao Y; Liu H; Zhang Y; Shi Z; Li R; Hei X; Ren X,2024.0,10.1088/1361-6579/ad262b,pubmed,https://pubmed.ncbi.nlm.nih.gov/38316023/,305 potential OSA patients,snore shifted-window transformer method (SST) for diagnosing potential OSA patients,traditional polysomnography (PSG) testing,accuracy of 85.9%; sensitivity of 85.3%; precision of 85.6%,,0.9,"Objective.Obstructive sleep apnea (OSA) is a high-incidence disease that is seriously harmful and potentially dangerous. The objective of this study was to develop a noncontact sleep audio signal-based method for diagnosing potential OSA patients, aiming to provide a more convenient diagnostic approach compared to the traditional polysomnography (PSG) testing.Approach.The study employed a shifted window transformer model to detect snoring audio signals from whole-night sleep audio. First, a snoring detection model was trained on large-scale audio datasets. Subsequently, the deep feature statistical metrics of the detected snore audio were used to train a random forest classifier for OSA patient diagnosis.Main results.Using a self-collected dataset of 305 potential OSA patients, the proposed snore shifted-window transformer method (SST) achieved an accuracy of 85.9%, a sensitivity of 85.3%, and a precision of 85.6% in OSA patient classification. These values surpassed the state-of-the-art method by 9.7%, 10.7%, and 7.9%, respectively.Significance.The experimental results demonstrated that SST significantly improved the noncontact audio-based OSA diagnosis performance. The study's findings suggest a promising self-diagnosis method for potential OSA patients, potentially reducing the need for invasive and inconvenient diagnostic procedures."
"Fetal Sleep: A Cross-Species Review of Physiology, Measurement, and Classification",Weitao Tang; Johann Vargas-Calixto; Nasim Katebi; Robert Galinsky; Gari D. Clifford; Faezeh Marzbanrad,2025.0,10.1093/sleep/zsag003,arxiv,http://arxiv.org/abs/2506.21828v2,Fetuses (human and animal models),Non-invasive monitoring and deep learning frameworks for fetal sleep,,Observable fetal sleep states; Differentiation of active and quiet sleep; Detection of neurological compromise,Review,0.9,"Study Objectives: Fetal sleep is a vital yet underexplored aspect of prenatal neurodevelopment. Its cyclic organization reflects the maturation of central neural circuits, and disturbances in these patterns may offer some of the earliest detectable signs of neurological compromise. This is the first review to integrate more than seven decades of research into a unified, cross-species synthesis of fetal sleep. We examine: (i) Physiology and Ontogeny-comparing human fetuses with animal models; and (ii) Methodological Evolution-transitioning from invasive neurophysiology to non-invasive monitoring and deep learning frameworks. Methods: A structured narrative synthesis was guided by a systematic literature search across four databases (PubMed, Scopus, IEEE Xplore, and Google Scholar). From 2,925 identified records, 171 studies involving fetal sleep-related physiology, sleep-state classification, or signal-based monitoring were included in this review. Results: Across the 171 studies, fetal sleep states become clearly observable as the brain matures. In fetal sheep and baboons, organized cycling between active and quiet sleep emerges at approximately 80%-90% gestation. In humans, this differentiation occurs later, around 95% gestation, with full maturation reached near term. Despite extensive animal research, no unified, clinically validated framework exists for defining fetal sleep states, limiting translation into routine obstetric practice. Conclusions: By integrating evidence across species, methodologies, and clinical contexts, this review provides the scientific foundation for developing objective, multimodal, and non-invasive fetal sleep monitoring technologies-tools that may ultimately support earlier detection of neurological compromise and guide timely prenatal intervention."
A Review of the Non-Invasive Techniques for Monitoring Different Aspects of Sleep,Zawar Hussain; Quan Z. Sheng; Wei Emma Zhang; Jorge Ortiz; Seyedamin Pouriyeh,2021.0,10.1145/3491245,arxiv,http://arxiv.org/abs/2104.12964v2,People experiencing sleep issues or disorders,Non-invasive techniques for sleep monitoring (wearable and non-wearable methods),Polysomnography (PSG),Sleep stage classification; Sleep posture recognition; Sleep disorders detection; Vital signs monitoring,Review,0.8,"Quality sleep is very important for a healthy life. Nowadays, many people around the world are not getting enough sleep which is having negative impacts on their lifestyles. Studies are being conducted for sleep monitoring and have now become an important tool for understanding sleep behavior. The gold standard method for sleep analysis is polysomnography (PSG) conducted in a clinical environment but this method is both expensive and complex for long-term use. With the advancements in the field of sensors and the introduction of off-the-shelf technologies, unobtrusive solutions are becoming common as alternatives for in-home sleep monitoring. Various solutions have been proposed using both wearable and non-wearable methods which are cheap and easy to use for in-home sleep monitoring. In this paper, we present a comprehensive survey of the latest research works (2015 and after) conducted in various categories of sleep monitoring including sleep stage classification, sleep posture recognition, sleep disorders detection, and vital signs monitoring. We review the latest works done using the non-invasive approach and cover both wearable and non-wearable methods. We discuss the design approaches and key attributes of the work presented and provide an extensive analysis based on 10 key factors, to give a comprehensive overview of the recent developments and trends in all four categories of sleep monitoring. We also present some publicly available datasets for different categories of sleep monitoring. In the end, we discuss several open issues and provide future research directions in the area of sleep monitoring."
Development of an IoT-Based Sleep Apnea Monitoring System for Healthcare Applications,Abdur Rab Dhruba; Kazi Nabiul Alam; Md Shakib Khan; Sami Bourouis; Mohammad Monirujjaman Khan,2022.0,10.1155/2021/7152576,arxiv,http://arxiv.org/abs/2209.05449v1,People suffering from sleep apnea and various sleeping disorders,IoT-based real-time sleep apnea monitoring system,,"Detection of sleep apnea; Monitoring of ECG, Heart Rate, Pulse rate, Skin response, and SpO2; Notification of odd occurrences through a mobile application",,0.8,"Sleep is an essential and vital element of a person life and health that helps to refresh and recharge the mind and body of a person. The quality of sleep is very important in every person lifestyle, removing various diseases. Bad sleep is a big problem for a lot of people for a very long time. People suffering from various diseases are dealing with various sleeping disorders, commonly known as sleep apnea. Real-time monitoring of sleep is the key to detecting sleep apnea. To solve this problem, an IoT based real-time sleep apnea monitoring system has been developed. It will allow the user to measure different indexes of sleep and will notify them through a mobile application when anything odd occurs. The system contains various sensors to measure the ECG, Heart Rate, Pulse rate, Skin response, and SpO2 of any person during the entire sleeping period. To analyze and detect sleep apnea in real time, the system monitors several people during the sleeping period. The results are displayed on the monitor of the Arduino boards and in the mobile application. The analysis of the achieved data can detect sleep apnea in some of the people that the system monitored, and it can also display the reason why sleep apnea happens. This paper will help everyone learn about sleep apnea and will help people detect it and take the necessary steps to prevent it."
AIOSA: An approach to the automatic identification of obstructive sleep apnea events based on deep learning,Andrea Bernardini; Andrea Brunello; Gian Luigi Gigli; Angelo Montanari; Nicola Saccomanno,2023.0,10.1016/j.artmed.2021.102133,arxiv,http://arxiv.org/abs/2302.05179v1,acute stroke patients,convolutional deep learning architecture for automatic identification of obstructive sleep apnea events,,satisfactory results as considered by domain experts; outperformance of current state-of-the-art solutions,,0.8,"Obstructive Sleep Apnea Syndrome (OSAS) is the most common sleep-related breathing disorder. It is caused by an increased upper airway resistance during sleep, which determines episodes of partial or complete interruption of airflow. The detection and treatment of OSAS is particularly important in stroke patients, because the presence of severe OSAS is associated with higher mortality, worse neurological deficits, worse functional outcome after rehabilitation, and a higher likelihood of uncontrolled hypertension. The gold standard test for diagnosing OSAS is polysomnography (PSG). Unfortunately, performing a PSG in an electrically hostile environment, like a stroke unit, on neurologically impaired patients is a difficult task; also, the number of strokes per day outnumbers the availability of polysomnographs and dedicated healthcare professionals. Thus, a simple and automated recognition system to identify OSAS among acute stroke patients, relying on routinely recorded vital signs, is desirable. The majority of the work done so far focuses on data recorded in ideal conditions and highly selected patients, and thus it is hardly exploitable in real-life settings, where it would be of actual use. In this paper, we propose a convolutional deep learning architecture able to reduce the temporal resolution of raw waveform data, like physiological signals, extracting key features that can be used for further processing. We exploit models based on such an architecture to detect OSAS events in stroke unit recordings obtained from the monitoring of unselected patients. Unlike existing approaches, annotations are performed at one-second granularity, allowing physicians to better interpret the model outcome. Results are considered to be satisfactory by the domain experts. Moreover, based on a widely-used benchmark, we show that the proposed approach outperforms current state-of-the-art solutions."
A Large Collection of Real-world Pediatric Sleep Studies,Harlin Lee; Boyue Li; Shelly DeForte; Mark Splaingard; Yungui Huang; Yuejie Chi; Simon Lin Linwood,2021.0,10.1038/s41597-022-01545-6,arxiv,http://arxiv.org/abs/2102.13284v4,pediatric patients,NCH Sleep DataBank consisting of polysomnography studies and clinical observations,,advancing automatic sleep scoring; real-time sleep disorder prediction; discovering new insights via data mining,,0.8,"Despite being crucial to health and quality of life, sleep -- especially pediatric sleep -- is not yet well understood. This is exacerbated by lack of access to sufficient pediatric sleep data with clinical annotation. In order to accelerate research on pediatric sleep and its connection to health, we create the Nationwide Children's Hospital (NCH) Sleep DataBank and publish it at Physionet and the National Sleep Research Resource (NSRR), which is a large sleep data common with physiological data, clinical data, and tools for analyses. The NCH Sleep DataBank consists of 3,984 polysomnography studies and over 5.6 million clinical observations on 3,673 unique patients between 2017 and 2019 at NCH. The novelties of this dataset include: 1) large-scale sleep dataset suitable for discovering new insights via data mining, 2) explicit focus on pediatric patients, 3) gathered in a real-world clinical setting, and 4) the accompanying rich set of clinical data. The NCH Sleep DataBank is a valuable resource for advancing automatic sleep scoring and real-time sleep disorder prediction, among many other potential scientific discoveries."
