title,authors,year,doi,url,v1_decision,v1_reason
"Audio-based snore detection using deep neural networks.","Xie J and Aubert X and Long X and van Dijk J and Arsenali B and Fonseca P and Overeem S","2021","10.1016/j.cmpb.2020.105917","https://pubmed.ncbi.nlm.nih.gov/33434817/","Include","IC-I"
"SST: a snore shifted-window transformer method for potential obstructive sleep apnea patient diagnosis.","Luo J and Zhao Y and Liu H and Zhang Y and Shi Z and Li R and Hei X and Ren X","2024","10.1088/1361-6579/ad262b","https://pubmed.ncbi.nlm.nih.gov/38316023/","Include","IC-I"
"Fetal Sleep: A Cross-Species Review of Physiology  Measurement  and Classification","Weitao Tang and Johann Vargas-Calixto and Nasim Katebi and Robert Galinsky and Gari D. Clifford and Faezeh Marzbanrad","2025","10.1093/sleep/zsag003","http://arxiv.org/abs/2506.21828v2","Exclude","EC-I"
"A Review of the Non-Invasive Techniques for Monitoring Different Aspects of Sleep","Zawar Hussain and Quan Z. Sheng and Wei Emma Zhang and Jorge Ortiz and Seyedamin Pouriyeh","2021","10.1145/3491245","http://arxiv.org/abs/2104.12964v2","Exclude","EC-P"
"Development of an IoT-Based Sleep Apnea Monitoring System for Healthcare Applications","Abdur Rab Dhruba and Kazi Nabiul Alam and Md Shakib Khan and Sami Bourouis and Mohammad Monirujjaman Khan","2022","10.1155/2021/7152576","http://arxiv.org/abs/2209.05449v1","Exclude","EC-I"
"AIOSA: An approach to the automatic identification of obstructive sleep apnea events based on deep learning","Andrea Bernardini and Andrea Brunello and Gian Luigi Gigli and Angelo Montanari and Nicola Saccomanno","2023","10.1016/j.artmed.2021.102133","http://arxiv.org/abs/2302.05179v1","Exclude","EC-I"
"A Large Collection of Real-world Pediatric Sleep Studies","Harlin Lee and Boyue Li and Shelly DeForte and Mark Splaingard and Yungui Huang and Yuejie Chi and Simon Lin Linwood","2021","10.1038/s41597-022-01545-6","http://arxiv.org/abs/2102.13284v4","Exclude","EC-I"
"Automatic Home-based Screening of Obstructive Sleep Apnea Using Single Channel Electrocardiogram and SPO2 Signals","Hosna Ghandeharioun","2021","10.5121/ijaia.2021.12605","http://arxiv.org/abs/2110.00660v2","Exclude","EC-I"
"A 1D-CNN Based Deep Learning Technique for Sleep Apnea Detection in IoT Sensors","Arlene John and Barry Cardiff and Deepu John","2021","10.1109/iscas51556.2021.9401300.","http://arxiv.org/abs/2105.00528v1","Exclude","EC-I"
"Energy-Efficient Real-Time 4-Stage Sleep Classification at 10-Second Resolution","Zahra Mohammadi and Parnian Fazel and Siamak Mohammadi","2025","10.1007/s11517-026-03616-x","http://arxiv.org/abs/2508.11664v2","Exclude","EC-I"
"Permutation time irreversibility in sleep electroencephalograms: Dependence on sleep stage and the effect of equal values","Wenpo Yao","2024","10.1103/physreve.109.054104","http://arxiv.org/abs/2405.02802v1","Exclude","EC-I"
"Toward Foundational Model for Sleep Analysis Using a Multimodal Hybrid Self-Supervised Learning Framework","Cheol-Hui Lee and Hakseung Kim and Byung C. Yoon and Dong-Joo Kim","2025","10.1109/tcyb.2025.3603608","http://arxiv.org/abs/2502.17481v3","Exclude","EC-I"
"Multi-Scored Sleep Databases: How to Exploit the Multiple-Labels in Automated Sleep Scoring","Luigi Fiorillo and Davide Pedroncelli and Valentina Agostini and Paolo Favaro and Francesca Dalia Faraci","2022","10.1093/sleep/zsad028","http://arxiv.org/abs/2207.01910v3","Include","IC-I"
"BreathAI: Transfer Learning-Based Thermal Imaging for Automated Breathing Pattern Recognition","Hamza Kheddar and Yassine Himeur and Abbes Amira","2026","10.1109/icip55913.2025.11084681","http://arxiv.org/abs/2604.17442v1","Exclude","EC-I"
