title,year,authors,url,v1_decision,v1_reason,doi,v2_decision,v2_reason
Audio-based snore detection using deep neural networks.,2021,Xie J and Aubert X and Long X and van Dijk J and Arsenali B and Fonseca P and Overeem S,https://pubmed.ncbi.nlm.nih.gov/33434817/,Include,IC-I,10.1016/j.cmpb.2020.105917,Include,IC-I
SST: a snore shifted-window transformer method for potential obstructive sleep apnea patient diagnosis.,2024,Luo J and Zhao Y and Liu H and Zhang Y and Shi Z and Li R and Hei X and Ren X,https://pubmed.ncbi.nlm.nih.gov/38316023/,Include,IC-I,10.1088/1361-6579/ad262b,Exclude ,Access reject
Fetal Sleep: A Cross-Species Review of Physiology Measurement and Classification,2025,Weitao Tang and Johann Vargas-Calixto and Nasim Katebi and Robert Galinsky and Gari D. Clifford and Faezeh Marzbanrad,http://arxiv.org/abs/2506.21828v2,Exclude,EC-I,10.1093/sleep/zsag003,,
A Review of the Non-Invasive Techniques for Monitoring Different Aspects of Sleep,2021,Zawar Hussain and Quan Z. Sheng and Wei Emma Zhang and Jorge Ortiz and Seyedamin Pouriyeh,http://arxiv.org/abs/2104.12964v2,Exclude ,EC-P,10.1145/3491245,,
Development of an IoT-Based Sleep Apnea Monitoring System for Healthcare Applications,2022,Abdur Rab Dhruba and Kazi Nabiul Alam and Md Shakib Khan and Sami Bourouis and Mohammad Monirujjaman Khan,http://arxiv.org/abs/2209.05449v1,Exclude,EC-I,10.1155/2021/7152576,,
AIOSA: An approach to the automatic identification of obstructive sleep apnea events based on deep learning,2023,Andrea Bernardini and Andrea Brunello and Gian Luigi Gigli and Angelo Montanari and Nicola Saccomanno,http://arxiv.org/abs/2302.05179v1,Exclude,EC-I,10.1016/j.artmed.2021.102133,,
A Large Collection of Real-world Pediatric Sleep Studies,2021,Harlin Lee and Boyue Li and Shelly DeForte and Mark Splaingard and Yungui Huang and Yuejie Chi and Simon Lin Linwood,http://arxiv.org/abs/2102.13284v4,Exclude,EC-I,10.1038/s41597-022-01545-6,,
Automatic Home-based Screening of Obstructive Sleep Apnea Using Single Channel Electrocardiogram and SPO2 Signals,2021,Hosna Ghandeharioun,http://arxiv.org/abs/2110.00660v2,Exclude,EC-I,10.5121/ijaia.2021.12605,,
A 1D-CNN Based Deep Learning Technique for Sleep Apnea Detection in IoT Sensors,2021,Arlene John and Barry Cardiff and Deepu John,http://arxiv.org/abs/2105.00528v1,Exclude,EC-I,10.1109/iscas51556.2021.9401300.,,
Energy-Efficient Real-Time 4-Stage Sleep Classification at 10-Second Resolution,2025,Zahra Mohammadi and Parnian Fazel and Siamak Mohammadi,http://arxiv.org/abs/2508.11664v2,Exclude,EC-I,10.1007/s11517-026-03616-x,,
Permutation time irreversibility in sleep electroencephalograms: Dependence on sleep stage and the effect of equal values,2024,Wenpo Yao,http://arxiv.org/abs/2405.02802v1,Exclude,EC-I,10.1103/physreve.109.054104,,
Toward Foundational Model for Sleep Analysis Using a Multimodal Hybrid Self-Supervised Learning Framework,2025,Cheol-Hui Lee and Hakseung Kim and Byung C. Yoon and Dong-Joo Kim,http://arxiv.org/abs/2502.17481v3,Exclude,EC-I,10.1109/tcyb.2025.3603608,,
Multi-Scored Sleep Databases: How to Exploit the Multiple-Labels in Automated Sleep Scoring,2022,Luigi Fiorillo and Davide Pedroncelli and Valentina Agostini and Paolo Favaro and Francesca Dalia Faraci,http://arxiv.org/abs/2207.01910v3,Include,IC-I,10.1093/sleep/zsad028,Include,IC-I
BreathAI: Transfer Learning-Based Thermal Imaging for Automated Breathing Pattern Recognition,2026,Hamza Kheddar and Yassine Himeur and Abbes Amira,http://arxiv.org/abs/2604.17442v1,Exclude,EC-I,10.1109/icip55913.2025.11084681,,
Comparison analysis between standard polysomnographic data and in-ear-EEG signals: A preliminary study,2024,Gianpaolo Palo and Luigi Fiorillo and Giuliana Monachino and Michal Bechny and Michel Walti and Elias Meier and Francesca Pentimalli Biscaretti di Ruffia and Mark Melnykowycz and Athina Tzovara and Valentina Agostini and Francesca Dalia Faraci,http://arxiv.org/abs/2401.10107v4,Exclude,EC-I,10.1093/sleepadvances/zpae087,,
Data-Efficient Sleep Staging with Synthetic Time Series Pretraining,2024,Niklas Grieger and Siamak Mehrkanoon and Stephan Bialonski,http://arxiv.org/abs/2403.08592v2,Exclude,EC-I,10.3390/a18090580,,
Wital: A COTS WiFi Devices Based Vital Signs Monitoring System Using NLOS Sensing Model,2023,Xiang Zhang and Yu Gu and Huan Yan and Yantong Wang and Mianxiong Dong and Kaoru Ota and Fuji Ren and Yusheng Ji,http://arxiv.org/abs/2305.14490v1,Exclude,EC-I,10.1109/thms.2023.3264247,,
From Sleep Staging to Spindle Detection: A Case Study on End-to-End Automated Sleep Analysis,2025,Niklas Grieger and Siamak Mehrkanoon and Philipp Ritter and Stephan Bialonski,http://arxiv.org/abs/2505.05371v2,Exclude,EC-I,10.1038/s41598-026-53891-9,,
Thermal Imaging and Radar for Remote Sleep Monitoring of Breathing and Apnea,2024,Kai Del Regno and Alexander Vilesov and Adnan Armouti and Anirudh Bindiganavale Harish and Selim Emir Can and Ashley Kita and Achuta Kadambi,http://arxiv.org/abs/2407.11936v2,Exclude,EC-I,,,
SWINSleepNet: A Hierarchical Context-Aware Framework for Sleep Staging (v2),2026,Chongjian Wang and Junjie Gao,http://arxiv.org/abs/2608.02183v1,Include,IC-I,,Exclude,EC-I
What Radio Waves Tell Us about Sleep,2024,Hao He and Chao Li and Wolfgang Ganglberger and Kaileigh Gallagher and Rumen Hristov and Michail Ouroutzoglou and Haoqi Sun and Jimeng Sun and Brandon Westover and Dina Katabi,http://arxiv.org/abs/2405.11739v2,Include,IC-I,,Exclude,EC-I
Attention-based Learning for Sleep Apnea and Limb Movement Detection using Wi-Fi CSI Signals,2023,Chi-Che Chang and An-Hung Hsiao and Li-Hsiang Shen and Kai-Ten Feng and Chia-Yu Chen,http://arxiv.org/abs/2304.06474v1,Exclude,EC-I,,,
Detection of Sleep Apnea-Hypopnea Events Using Millimeter-wave Radar and Pulse Oximeter,2024,Wei Wang and Chenyang Li and Zhaoxi Chen and Wenyu Zhang and Zetao Wang and Xi Guo and Jian Guan and Gang Li,http://arxiv.org/abs/2409.19217v2,Exclude,EC-I,,,
Apnea Burden-Guided Framework: Enhancing Out-of-Distribution Generalization in PPG-Based Sleep Apnea Characterization,2026,Mantas RinkeviÃ„Âius and Oskar Pfeffer and Amal Alissa and Nando Hegemann and Vaidotas Marozas,http://arxiv.org/abs/2608.12229v1,Exclude,EC-I,,,
SleepLiteCNN: Energy-Efficient Sleep Apnea Subtype Classification with 1-Second Resolution Using Single-Lead ECG,2025,Zahra Mohammadi and Siamak Mohammadi,http://arxiv.org/abs/2508.02718v1,Exclude,EC-I,,,
MSSC-BiMamba: Multimodal Sleep Stage Classification and Early Diagnosis of Sleep Disorders with Bidirectional Mamba,2024,Chao Zhang and Weirong Cui and Jingjing Guo,http://arxiv.org/abs/2405.20142v2,Include,IC-I,,Exclude,EC-I
RestAware: Non-Invasive Sleep Monitoring Using FMCW Radar and AI-Generated Summaries,2025,Agniva Banerjee and Bhanu Partap Paregi and Haroon R. Lone,http://arxiv.org/abs/2508.00848v1,Exclude,EC-I,,,
Real-time unobtrusive sleep monitoring of in-patients with affective disorders: a feasibility study,2023,Samuel Askjer and Kim Mathiasen and Ali Amidi and Christine Parsons and Nicolai Ladegaard,http://arxiv.org/abs/2311.13457v1,Exclude,EC-I,,,
Deep Learning-Enabled Sleep Staging From Vital Signs and Activity Measured Using a Near-Infrared Video Camera,2023,Jonathan Carter and JoÃƒÂ£o Jorge and Bindia Venugopal and Oliver Gibson and Lionel Tarassenko,http://arxiv.org/abs/2306.03711v1,Exclude,EC-I,,,
Privacy Protected Contactless Cardio-respiratory Monitoring using Defocused Cameras during Sleep,2024,Yingen Zhu and Jia Huang and Hongzhou Lu and Wenjin Wang,http://arxiv.org/abs/2401.08935v1,Exclude,EC-I,,,
MobileNetV2: A lightweight classification model for home-based sleep apnea screening,2024,Hui Pan and Yanxuan Yu and Jilun Ye and Xu Zhang,http://arxiv.org/abs/2412.19967v2,Include,IC-I,,Exclude,EC-I
PSG-MAE: Robust Multitask Sleep Event Monitoring using Multichannel PSG Reconstruction and Inter-channel Contrastive Learning,2025,Yifei Wang and Qi Liu and Fuli Min and Honghao Wang,http://arxiv.org/abs/2504.13229v1,Include,IC-C,,Exclude,EC-I
What your brain activity says about you: A review of neuropsychiatric disorders identified in resting-state and sleep EEG data,2025,J. E. M. Scanlon and A. Pelzer and M. Gharleghi and K. C. Fuhrmeister and T. KÃƒÂ¶llmer and P. Aichroth and R. GÃƒÂ¶der and C. Hansen and K. I. Wolf,http://arxiv.org/abs/2510.04984v1,Exclude,EC-I,,,
The Breakthrough of Sleep: A Contactless Approach for Accurate Sleep Stage Detection Using the Sleepal AI Lamp,2026,Zhuo Diao and Yueting Li and Jianpeng Wang and Shengyu Guan and Xinwei Wang and Wenxiong Cui and Xin Shi and Tong Liu and Kailai Sun and Jingyu Wang and Dian Fan and Thomas Penzel,http://arxiv.org/abs/2604.16442v1,Exclude,EC-I,,,
Sleep Position Classification using Transfer Learning for Bed-based Pressure Sensors,2025,Olivier Papillon and Rafik Goubran and James Green and Julien LariviÃƒÂ¨re-Chartier and Caitlin Higginson and Frank Knoefel and RÃƒÂ©becca Robillard,http://arxiv.org/abs/2505.08111v1,Exclude,EC-I,,,
Sleep Stage Classification Using a Pre-trained Deep Learning Model,2023,Hassan Ardeshir and Mohammad Araghi,http://arxiv.org/abs/2309.07182v2,Include,IC-I,,Exclude,EC-I
Continuous SpO2 Monitoring Using Reflectance Pulse Oximetry at the Wrist and Upper Arm During Overnight Sleep Apnea Recordings,2025,Karen Adam and ClÃƒÂ©mentine Aguet and Patrick Theurillat and Florent Baty and Maximilian Boesch and Damien Ferrario and Mathieu Lemay and Martin Brutsche and Fabian Braun,http://arxiv.org/abs/2505.20846v1,Exclude,EC-D,,,
Microbes in the Moonlight: How the Gut Microbiota Influences Sleep,2025,Enso Onill Torres Alegre,http://arxiv.org/abs/2511.02766v4,Exclude,EC-D,,,
Sleep Activity Recognition and Characterization from Multi-Source Passively Sensed Data,2023,MarÃƒÂ­a MartÃƒÂ­nez-GarcÃƒÂ­a and Fernando Moreno-Pino and Pablo M. Olmos and Antonio ArtÃƒÂ©s-RodrÃƒÂ­guez,http://arxiv.org/abs/2301.10156v1,Include,IC-I,,Exclude,EC-I
Resource Efficient Sleep Staging via Multi-Level Masking and Prompt Learning,2025,Lejun Ai and Yulong Li and Haodong Yi and Jixuan Xie and Yue Wang and Jia Liu and Min Chen and Rui Wang,http://arxiv.org/abs/2511.06785v2,Exclude,EC-I,,,
Quantified Sleep: Machine learning techniques for observational n-of-1 studies,2021,Gianluca Truda,http://arxiv.org/abs/2105.06811v1,Exclude,EC-I,,,
ULW-SleepNet: An Ultra-Lightweight Network for Multimodal Sleep Stage Scoring,2026,Zhaowen Wang and Dongdong Zhou and Qi Xu and Fengyu Cong and Mohammad Al-Sa'd and Jenni Raitoharju,http://arxiv.org/abs/2602.23852v1,Exclude,EC-I,,,
Sleep Modulation: The Challenge of Transitioning from Open Loop to Closed Loop,2025,Guisong Liu and Jiansong Zhang and Yinpei Luo and Guoliang Wei and Shuqing Sun and Shiyang Deng and Pengfei Wei and Nanxi Chen,http://arxiv.org/abs/2512.03784v1,Exclude,EC-I,,,
EventSleep: Sleep Activity Recognition with Event Cameras,2024,Carlos Plou and Nerea Gallego and Alberto Sabater and Eduardo Montijano and Pablo Urcola and Luis Montesano and Ruben Martinez-Cantin and Ana C. Murillo,http://arxiv.org/abs/2404.01801v1,Exclude,EC-I,,,
