title,authors,year,doi,source,url,population,intervention,comparison,outcomes,study_type,confidence_score,abstract
"Sleep Architecture, Obstructive Sleep Apnea, and Cognitive Function in Adults.",Pase MP; Harrison S; Misialek JR; Kline CE; Cavuoto M; Baril AA; Yiallourou S; Bisson A; Himali D; Leng Y; Yang Q; Seshadri S; Beiser A; Gottesman RF; Redline S; Lopez O; Lutsey PL; Yaffe K; Stone KL; Purcell SM; Himali JJ; Matthew P. Pase; Stéphanie Harrison; Jeffrey R. Misialek; Christopher E. Kline; Marina Cavuoto; Andrée‐Ann Baril; Stephanie Yiallourou; Alycia Bisson; Dibya Himali; Yue Leng; Qiong Yang; Sudha Seshadri; Alexa Beiser; Rebecca F. Gottesman; Susan Redline; Oscar L. López; Pamela L. Lutsey; Kristine Yaffe; Katie L. Stone; Shaun Purcell; Jayandra J. Himali,2023,10.1001/jamanetworkopen.2023.25152,pubmed+openalex,https://pubmed.ncbi.nlm.nih.gov/37462968/,"5946 adults (1875 females [31.5%]; mean age range, 58-89 years)",Measures of sleep architecture and obstructive sleep apnea (OSA) derived from in-home PSG,AHI less than 5,"Higher sleep maintenance efficiency associated with better global cognition (pooled β per 1% increase, 0.08; 95% CI, 0.03 to 0.14; P < .01); Lower wake after sleep onset associated with better global cognition (pooled β per 1-min increase, -0.07; 95% CI, -0.13 to -0.01; P = .02); Mild to severe OSA associated with poorer global cognition (pooled β, -0.06; 95% CI, -0.11 to -0.01; P = .01); Moderate to severe OSA associated with poorer global cognition (pooled β, -0.06; 95% CI, -0.11 to -0.01; P = .02)",Cohort study,1,"IMPORTANCE: Good sleep is essential for health, yet associations between sleep and dementia risk remain incompletely understood. The Sleep and Dementia Consortium was established to study associations between polysomnography (PSG)-derived sleep and the risk of dementia and related cognitive and brain magnetic resonance imaging endophenotypes.
OBJECTIVE: To investigate association of sleep architecture and obstructive sleep apnea (OSA) with cognitive function in the Sleep and Dementia Consortium.
DESIGN, SETTING, AND PARTICIPANTS: The Sleep and Dementia Consortium curated data from 5 population-based cohorts across the US with methodologically consistent, overnight, home-based type II PSG and neuropsychological assessments over 5 years of follow-up: the Atherosclerosis Risk in Communities study, Cardiovascular Health Study, Framingham Heart Study (FHS), Osteoporotic Fractures in Men Study, and Study of Osteoporotic Fractures. Sleep metrics were harmonized centrally and then distributed to participating cohorts for cohort-specific analysis using linear regression; study-level estimates were pooled in random effects meta-analyses. Results were adjusted for demographic variables, the time between PSG and neuropsychological assessment (0-5 years), body mass index, antidepressant use, and sedative use. There were 5946 participants included in the pooled analyses without stroke or dementia. Data were analyzed from March 2020 to June 2023.
EXPOSURES: Measures of sleep architecture and OSA derived from in-home PSG.
MAIN OUTCOMES AND MEASURES: The main outcomes were global cognitive composite z scores derived from principal component analysis, with cognitive domains investigated as secondary outcomes. Higher scores indicated better performance.
RESULTS: Across cohorts, 5946 adults (1875 females [31.5%]; mean age range, 58-89 years) were included. The median (IQR) wake after sleep onset time ranged from 44 (27-73) to 101 (66-147) minutes, and the prevalence of moderate to severe OSA ranged from 16.9% to 28.9%. Across cohorts, higher sleep maintenance efficiency (pooled β per 1% increase, 0.08; 95% CI, 0.03 to 0.14; P < .01) and lower wake after sleep onset (pooled β per 1-min increase, -0.07; 95% CI, -0.13 to -0.01 per 1-min increase; P = .02) were associated with better global cognition. Mild to severe OSA (apnea-hypopnea index [AHI] ≥5) was associated with poorer global cognition (pooled β, -0.06; 95% CI, -0.11 to -0.01; P = .01) vs AHI less than 5; comparable results were found for moderate to severe OSA (pooled β, -0.06; 95% CI, -0.11 to -0.01; P = .02) vs AHI less than 5. Differences in sleep stages were not associated with cognition.
CONCLUSIONS AND RELEVANCE: This study found that better sleep consolidation and the absence of OSA were associated with better global cognition over 5 years of follow-up. These findings suggest that the role of interventions to improve sleep for maintaining cognitive function requires investigation."
Hypoxic Burden in Obstructive Sleep Apnea: Present and Future.,Martinez-Garcia MA; Sánchez-de-la-Torre M; White DP; Azarbarzin A; Miguel Ángel Martínez‐García; Manuel Sánchez‐de‐la‐Torre; David White; Ali Azarbarzin,2023,10.1016/j.arbres.2022.08.005,pubmed+openalex,https://pubmed.ncbi.nlm.nih.gov/36115739/,Individuals with obstructive sleep apnea (OSA),Hypoxic burden (HB) as a novel metric for assessing OSA severity,Conventional measures such as apnea-hypopnea index (AHI) and oxygen desaturation index (ODI),Identification of high risk individuals with OSA; Characterization of physiological consequences of OSA; Depth and duration of OSA-related hypoxemia,N/A,0.8,"Conventional measures of obstructive sleep apnea (OSA) severity, such as the apnea-hypopnea index (AHI) and oxygen desaturation index (ODI) are commonly used to quantify OSA severity and guide therapeutical decision-making processes. However, it is widely recognized that both AHI and ODI have important limitations and novel physiologically-informed metrics are needed to better capture the severity of OSA and characterize its physiological consequences, particularly the severity of recurrent nocturnal hypoxemia, ensuing the respiratory events. According to recent studies, the sleep apnea-specific ""hypoxic burden (HB)"", defined as the sum of individual areas under the oxygen desaturation curve, has shown some promise in identifying high risk individuals with OSA. In addition to the frequency of respiratory events, HB capture the depth and duration of OSA-related hypoxemia that may prove to be important disease characterizing features, not captured by the conventional ""frequency-based"" metrics, such as AHI and ODI. In this ""perspective"" paper the methods to quantify the HB, its characteristics, associations with health outcomes, and its limitations will be discussed."
"Sleep Disorders and Stroke: Pathophysiological Links, Clinical Implications, and Management Strategies.",Rissardo JP; Khalil I; Taha M; Chen J; Sayad R; Fornari Caprara AL,2025,10.3390/medsci13030113,pubmed,https://pubmed.ncbi.nlm.nih.gov/40843734/,Patients with sleep disorders and stroke,Early identification and management of sleep disorders,N/A,Increased risk of stroke; Impairment of rehabilitation; Cognitive recovery; Quality of life; Underdiagnosed and undertreated sleep disorders,Narrative review,0.9,"Sleep disorders and stroke are intricately linked through a complex, bidirectional relationship. Sleep disturbances such as obstructive sleep apnea (OSA), insomnia, and restless legs syndrome (RLS) not only increase the risk of stroke but also frequently emerge as consequences of cerebrovascular events. OSA, in particular, is associated with a two- to three-fold increased risk of incident stroke, primarily through mechanisms involving intermittent hypoxia, systemic inflammation, endothelial dysfunction, and autonomic dysregulation. Conversely, stroke can disrupt sleep architecture and trigger or exacerbate sleep disorders, including insomnia, hypersomnia, circadian rhythm disturbances, and breathing-related sleep disorders. These post-stroke sleep disturbances are common and significantly impair rehabilitation, cognitive recovery, and quality of life, yet they remain underdiagnosed and undertreated. Early identification and management of sleep disorders in stroke patients are essential to optimize recovery and reduce the risk of recurrence. Therapeutic strategies include lifestyle modifications, pharmacological treatments, medical devices such as continuous positive airway pressure (CPAP), and emerging alternatives for CPAP-intolerant individuals. Despite growing awareness, significant knowledge gaps persist, particularly regarding non-OSA sleep disorders and their impact on stroke outcomes. Improved diagnostic tools, broader screening protocols, and greater integration of sleep assessments into stroke care are urgently needed. This narrative review synthesizes current evidence on the interplay between sleep and stroke, emphasizing the importance of personalized, multidisciplinary approaches to diagnosis and treatment. Advancing research in this field holds promise for reducing the global burden of stroke and improving long-term outcomes through targeted sleep interventions."
Association and Risk Factors for Obstructive Sleep Apnea and Cardiovascular Diseases: A Systematic Review,Amal K. Mitra; Azad R. Bhuiyan; Elizabeth A. Jones; Mitra AK; Bhuiyan AR; Jones EA,2021,10.3390/diseases9040088,openalex+pubmed,https://doi.org/10.3390/diseases9040088,Patients with obstructive sleep apnea (OSA),Evaluation of evidence for the association between OSA and cardiovascular disease morbidities,N/A,"Increased risk factors for cardiovascular diseases including hypertension, obesity, and diabetes mellitus; Comorbidities identified: heart disease, stroke, kidney disease, asthma, COPD, acute heart failure, chronic heart failure, hyperlipidemia, thyroid disease, cerebral infarct or embolism, myocardial infarction, psychological comorbidities (stress and depression); Risk factors for OSA: age > 35 years, BMI ≥ 25 kg/m2, alcoholism, higher Epworth sleepiness scale (ESS), mean apnea duration, oxygen desaturation index (ODI), nocturnal oxygen desaturation (NOD); Association of severe OSA (AHI ≥ 30) with excessive daytime sleepiness and oxygen desaturation index; Reduction of OSA risk by controlling overweight/obesity, alcoholism, smoking, hypertension, diabetes mellitus, and hyperlipidemia",Systematic Review,0.9,"Obstructive sleep apnea (OSA) is a serious, potentially life-threatening condition. Epidemiologic studies show that sleep apnea increases cardiovascular diseases risk factors including hypertension, obesity, and diabetes mellitus. OSA is also responsible for serious illnesses such as congestive heart failure, stroke, arrhythmias, and bronchial asthma. The aim of this systematic review is to evaluate evidence for the association between OSA and cardiovascular disease morbidities and identify risk factors for the conditions. In a review of 34 studies conducted in 28 countries with a sample of 37,599 people, several comorbidities were identified in patients with severe OSA—these were: heart disease, stroke, kidney disease, asthma, COPD, acute heart failure, chronic heart failure, hyperlipidemia, thyroid disease, cerebral infarct or embolism, myocardial infarction, and psychological comorbidities including stress and depression. Important risk factors contributing to OSA included: age &gt; 35 years; BMI ≥ 25 kg/m2; alcoholism; higher Epworth sleepiness scale (ESS); mean apnea duration; oxygen desaturation index (ODI); and nocturnal oxygen desaturation (NOD). Severe OSA (AHI ≥ 30) was significantly associated with excessive daytime sleepiness and oxygen desaturation index. The risk of OSA and associated disease morbidities can be reduced by controlling overweight/obesity, alcoholism, smoking, hypertension, diabetes mellitus, and hyperlipidemia."
"Hypoxic burden - definitions, pathophysiological concepts, methods of evaluation, and clinical relevance.",Parekh A,2024,10.1097/mcp.0000000000001122,pubmed,https://pubmed.ncbi.nlm.nih.gov/39229876/,Patients with obstructive sleep apnea (OSA),"Characterization of nocturnal hypoxia in OSA, termed as 'hypoxic burden'",Apnea-hypopnea index (AHI),Greater prognostic ability than AHI; Better relation to incident cardiovascular disease than AHI; Utility in moving OSA diagnosis beyond the AHI,Literature review,0.9,"PURPOSE OF REVIEW: Obstructive sleep apnea (OSA) is a common chronic condition that affects over a billion people worldwide and is associated with adverse cardio- and cerebrovascular consequences. Currently, the go-to clinical measure that determines the presence and severity of OSA is the apnea-hypopnea index (AHI). The AHI captures the frequency of respiratory events due to changes in ventilation that are associated with either oxygen desaturations or arousal from sleep. The AHI is poorly correlated to adverse outcomes in OSA with poor prognostic ability. To overcome the limitations of AHI and perhaps driven by the ease of acquisition, several studies have suggested characterizing nocturnal hypoxia in OSA, termed as ""hypoxic burden"". The purpose of this review is to focus on the hypoxic burden in OSA, its various definitions, and its utility in moving OSA diagnosis beyond the AHI.
RECENT FINDINGS: Several measures and definitions of hypoxic burden have been proposed and studied that show promise in overcoming limitations of AHI and also have a greater prognostic ability than AHI. More recently, area-based measures that attempt to characterize the depth and duration of oxygen desaturations, i.e., nocturnal hypoxia in OSA, have been shown to better relate to incident cardiovascular disease than AHI. In this review, we delve into the evidence for these novel area-based metrics and also delve into the pathophysiological concepts underlying nocturnal hypoxia while cautioning the reader on interpretation of the recent findings relating hypoxic burden to adverse outcomes in OSA.
SUMMARY: In this review on hypoxic burden, we focus on the need that has driven the sudden influx of studies assessing hypoxic burden for various outcomes of OSA, its underlying pathophysiology, the various definitions, and clinical relevance. We hope that the reader can appreciate the nuances underlying hypoxic burden in OSA and suggest the need for a cohesive framework for moving beyond the AHI with hypoxic burden."
Screening for Obstructive Sleep Apnea in Adults,Cynthia Feltner; Ina Wallace; Shannon Aymes; Jennifer Cook Middleton; Kelli L. Hicks; Manny Schwimmer; Claire Baker; Casey P. Balio; Daniel Moore; Christiane Voisin; Daniel E Jonas; US Preventive Services Task Force; Mangione CM; Barry MJ; Nicholson WK; Cabana M; Chelmow D; Rucker Coker T; Davidson KW; Davis EM; Donahue KE; Jaén CR; Kubik M; Li L; Ogedegbe G; Pbert L; Ruiz JM; Stevermer J; Wong JB; Carol M. Mangione; Michael J. Barry; Wanda K. Nicholson; Michael D. Cabana; David Chelmow; Tumaini R. Coker; Karina W. Davidson; Esa M. Davis; Katrina E Donahue; Carlos Roberto Jaén; Martha Kubik; Li Li; Gbenga Ogedegbe; Lori Pbert; John Ruiz; James Stevermer; John B. Wong,2022,10.1001/jama.2022.18357,openalex+pubmed+openalex,https://doi.org/10.1001/jama.2022.18357,Asymptomatic adults or those with unrecognized OSA symptoms,Screening for obstructive sleep apnea (OSA),No screening,Test accuracy; Excessive daytime sleepiness; Sleep-related quality of life (QOL); General health-related QOL; Harms,Systematic review,0.9,"Importance: Obstructive sleep apnea (OSA) is associated with adverse health outcomes. Objective: To review the evidence on screening for OSA in asymptomatic adults or those with unrecognized OSA symptoms to inform the US Preventive Services Task Force. Data Sources: PubMed/MEDLINE, Cochrane Library, Embase, and trial registries through August 23, 2021; surveillance through September 23, 2022. Study Selection: English-language studies of screening test accuracy, randomized clinical trials (RCTs) of screening or treatment of OSA reporting health outcomes or harms, and systematic reviews of treatment reporting changes in blood pressure and apnea-hypopnea index (AHI) scores. Data Extraction and Synthesis: Dual review of abstracts, full-text articles, and study quality. Meta-analysis of intervention trials. Main Outcomes and Measures: Test accuracy, excessive daytime sleepiness, sleep-related and general health-related quality of life (QOL), and harms. Results: Eighty-six studies were included (N = 11 051). No study directly compared screening with no screening. Screening accuracy of the Multivariable Apnea Prediction score followed by unattended home sleep testing for detecting severe OSA syndrome (AHI ≥30 and Epworth Sleepiness Scale [ESS] score &gt;10) measured as the area under the curve in 2 studies (n = 702) was 0.80 (95% CI, 0.78 to 0.82) and 0.83 (95% CI, 0.77 to 0.90). Five studies assessing the accuracy of other screening tools were heterogeneous and results were inconsistent. Compared with inactive control, positive airway pressure was associated with a significant improvement in ESS score from baseline (pooled mean difference, -2.33 [95% CI, -2.75 to -1.90]; 47 trials; n = 7024), sleep-related QOL (standardized mean difference, 0.30 [95% CI, 0.19 to 0.42]; 17 trials; n = 3083), and general health-related QOL measured by the 36-Item Short Form Health Survey (SF-36) mental health component summary score change (pooled mean difference, 2.20 [95% CI, 0.95 to 3.44]; 15 trials; n = 2345) and SF-36 physical health component summary score change (pooled mean difference, 1.53 [95% CI, 0.29 to 2.77]; 13 trials; n = 2031). Use of mandibular advancement devices was also associated with a significantly larger ESS score change compared with controls (pooled mean difference, -1.67 [95% CI, 2.09 to -1.25]; 10 trials; n = 1540). Reporting of other health outcomes was sparse; no included trial found significant benefit associated with treatment on mortality, cardiovascular events, or motor vehicle crashes. In 3 systematic reviews, positive airway pressure was significantly associated with reduced blood pressure; however, the difference was relatively small (2-3 mm Hg). Conclusions and Relevance: The accuracy and clinical utility of OSA screening tools that could be used in primary care settings were uncertain. Positive airway pressure and mandibular advancement devices reduced ESS score. Trials of positive airway pressure found modest improvement in sleep-related and general health-related QOL but have not established whether treatment reduces mortality or improves most other health outcomes."
[Obstructive Sleep Apnea].,Roncero A; Castro S; Herrero J; Romero S; Caballero C; Rodriguez P,2022,10.1016/j.opresp.2022.100185,pubmed,https://pubmed.ncbi.nlm.nih.gov/37496584/,Patients with obstructive sleep apnea (OSA),"Continuous positive airway pressure (CPAP) and other treatments such as mandibular advancement devices (MAD), postural therapy, and surgical options",N/A,Severity of OSA; Risk of accidents; High blood pressure (HBP); Cardiovascular risk; Diabetes mellitus (DM); Cardiac arrhythmia; Neoplasms,N/A,0.9,"Obstructive sleep apnea (OSA) is defined as the presence of an apnea-hyponea index (AHI)>15/h, predominantly obstructive or AHI greater than 5 with symptoms, the classic symptoms are observed apneas, daytime sleepiness and snoring, however, there are many other associated symptoms. To assess the severity of OSA, classically, only the AHI value was considered, but there is increasing evidence to implicate other factors. The predisposition to develop OSA is determined by anatomical and functional features. Having OSA increases the risk of accidents, high blood pressure (HBP) and is associated with cardiovascular risk, diabetes mellitus (DM), cardiac arrhythmia and neoplasms. To assess the probability of OSA, questionnaires and scales have been developed to assess symptoms, the certain diagnosis is obtained by polysomnography (PSG), which is the gold standard test, or polygraphy, which is a simpler and more accessible diagnostic test for diagnosis validated, the use of one or the other will depend on the suspicion and the associated comorbidities. Treatments for sleep apnea increasingly tend to be more individualized based on the characteristics of the patient and all are complementary. Hygienic-dietary measures should be applied in all patients, continuous positive airway pressure (CPAP) is the most effective treatment and with the most evidence, but other treatments are also available such as mandibular advancement devices (MAD), postural therapy and surgical options among others. Telemedicine is advancing in the follow-up of patients with OSA, both from non-face-to-face consultations and control of equipment via Wi-Fi to assess adherence, efficacy and correct control of therapy."
Efficacy of incretin-based therapies in obesity-related obstructive sleep apnea: a systematic review and meta-analysis of randomized controlled trials.,Bardóczi A; Matics ZZ; Turan C; Szabó B; Molnár Z; Hegyi P; Müller V; Horváth G,2025,10.1016/j.smrv.2025.102119,pubmed,https://pubmed.ncbi.nlm.nih.gov/40633481/,patients with obesity-related obstructive sleep apnea (OSA),incretin-based therapies (liraglutide or tirzepatide),usual care,"significant reductions in body weight; significant reductions in body mass index; mean change in AHI of -14.45 events/h (95 % CI: 25.90 to -2.99, p < 0.001); mean difference in AHI of -11.61 events/h (95 % CI: 22.91 to -0.31, p = 0.046)",Meta-analysis,1,"The primary etiologic risk factor for obstructive sleep apnea (OSA) is obesity. As incretin-based therapies, specifically glucagon-like peptide 1 (GLP-1) and dual GLP-1/glucose-dependent insulinotropic polypeptide (GIP) agonists, have shown promising outcomes in obesity management, these medications have generated interest in OSA therapy. To investigate their efficacy in OSA, we performed a systematic literature search following PRISMA and Cochrane Handbook guidelines for studies reporting apnea-hypopnea index (AHI) and incretin-based therapy in patients with OSA. Only randomized controlled trials were eligible for inclusion. Our literature search identified 813 publications, and 5 articles met the inclusion criteria. Collectively, the studies enrolled 1024 patients, lasted ≥12 weeks with liraglutide or tirzepatide, and resulted in significant reductions in body weight and/or body mass index. Incretin-based therapies were also associated with AHI reduction, with a mean change of -14.45 events/h (95 % CI: 25.90 to -2.99, p < 0.001). By pooling data of 5 RCTs in a pairwise meta-analysis, incretin-based therapies showed a greater effect on AHI than usual care, with a mean difference of -11.61 events/h (95 % CI: 22.91 to -0.31, p = 0.046). Our analysis demonstrates that weight reduction through incretin-based therapies improves AHI in OSA. Incretin-based therapies have the potential to treat sleep-disordered breathing in OSA patients with excess weight."
Association of Hypoxic Burden With Cardiovascular Events: A Risk Stratification Analysis of the Randomized Intervention With CPAP in Coronary Artery Disease and Sleep Apnea Cohort.,Peker Y; Celik Y; Zinchuk A; Sands SA; Redline S; Azarbarzin A,2025,10.1016/j.chest.2025.07.4081,pubmed,https://pubmed.ncbi.nlm.nih.gov/40818776/,368 adults with OSA (AHI ≥ 15 events/h),high hypoxic burden (HB),AHI of ≥ 30 events/h,"incident of the first MACCE; adjusted hazard ratio, 1.87; 95% CI, 1.17-2.98; P = .009",Cohort,0.9,"BACKGROUND: The apnea-hypopnea index (AHI), the standard measure of OSA, has limitations in reflecting disease severity.
RESEARCH QUESTION: Is high hypoxic burden (HB) more strongly associated with major cardiovascular and cerebrovascular adverse events (MACCEs) than AHI of ≥ 30 events/h?
STUDY DESIGN AND METHODS: This secondary analysis of the Randomized Intervention With CPAP in Coronary Artery Disease and Sleep Apnea observational cohort included 368 adults with OSA (AHI ≥ 15 events/h) with (n = 155) and without (n = 244) excessive daytime sleepiness (EDS), defined as an Epworth Sleepiness Scale score of ≥ 10. HB was calculated as the total area under respiratory event-related desaturations divided by total sleep time. Patients were classified as having high or low HB based on the median (60.7%min/h). The primary outcome was the incident of the first MACCE. Cox proportional hazard models assessed associations in the full cohort and by CPAP allocation and adherence (nonadherent or no positive airway pressure [PAP] group, n = 262; adherent [adjusted PAP use ≥ 4 h/night for all nights at 1-year follow-up], n = 106). In an exploratory analysis, participants were grouped into 4 categories based on median AHI and HB (low and low, low and high, high and low, and high and high, respectively).
RESULTS: Over a median follow-up of 4.7 years, high HB was associated with MACCEs (adjusted hazard ratio, 1.87; 95% CI, 1.17-2.98; P = .009), particularly among untreated or nonadherent patients and those with baseline EDS. AHI of ≥ 30 events/h was not associated significantly with MACCEs (P = .366). When modelled continuously, HB and AHI each were associated with MACCEs; however, compared with low AHI and low HB, only high HB, regardless of AHI level, was linked to increased risk. In contrast, high AHI and low HB was not associated with MACCEs.
INTERPRETATION: High HB, but not AHI of ≥ 30 events/h, was associated with MACCEs in adults with moderate to severe OSA. Although AHI was associated with outcomes when modelled continuously, elevated risk seemed to be driven primarily by high HB.
CLINICAL TRIAL REGISTRATION: ClinicalTrials.gov; No.: NCT00519597; URL: www.
CLINICALTRIALS: gov."
Nocturnal Cardiac Arrhythmias in Heart Failure With Obstructive and Central Sleep Apnea.,Horvath CM; Fisser C; Floras JS; Sossalla S; Wang S; Tomlinson G; Rankin F; Yatsu S; Ryan CM; Bradley TD; Arzt M; ADVENT-HF Investigators,2024,10.1016/j.chest.2024.08.003,pubmed,https://pubmed.ncbi.nlm.nih.gov/39168180/,patients with heart failure with reduced ejection fraction (HFrEF),obstructive sleep apnea (OSA) and central sleep apnea (CSA),no to mild sleep apnea,prevalence of excessive supraventricular ectopic activity (ESVEA); prevalence of atrial fibrillation/flutter (AF); prevalence of > 10 premature ventricular complexes (PVCs/h),cross-sectional analysis,0.9,"BACKGROUND: Both obstructive and central sleep apnea (CSA) may contribute to nocturnal cardiac arrhythmias (NCAs). Data are scarce regarding the prevalence of clinically important nocturnal atrial and ventricular arrythmias in patients with heart failure with reduced ejection fraction (HFrEF) and OSA or CSA.
RESEARCH QUESTION: In a cohort of patients with HFrEF, how does the prevalence of NCA compare among those with OSA, CSA, and those with no to mild sleep apnea? Is the severity of OSA or CSA associated with atrial and ventricular NCAs?
STUDY DESIGN AND METHODS: This cross-sectional analysis is an ancillary study of the Effect of Adaptive Servo Ventilation on Survival and Hospital Admissions in Heart Failure (ADVENT-HF) trial. We compared the prevalence of NCAs (excessive supraventricular ectopic activity [ESVEA], defined as premature atrial complexes ≥ 30/h or supraventricular tachycardia ≥ 20 beats); atrial fibrillation/flutter [AF]; and > 10 premature ventricular complexes [PVCs/h]) on ECGs from polysomnograms of patients with HFrEF between those with OSA (apnea-hypopnea index [AHI ≥ 15 events/h]), those with CSA (AHI ≥ 15 events/h), and those with no to mild sleep apnea (AHI < 15 events/h [control]).
RESULTS: The prevalence of ESVEA was higher in patients with OSA (n = 430) and CSA (n = 150) compared with control participants (n = 76): 0%, 9%, and 12%, respectively. The prevalence of AF in the control, OSA, and CSA groups was 9%, 17%, and 27%; the prevalence of > 10 PVCs/h was 45%, 59%, and 63%. In multivariable regression analyses, premature atrial complexes/h was associated with OSA severity (obstructive AHI: 22.4% increase per 10 events/h [95% CI, 5.2-42.3; P = .009), although neither obstructive nor central AHI was associated with AF or > 10 PVC/h.
INTERPRETATION: In patients with HFrEF, the prevalences of nocturnal ESVEA, AF, and PVC > 10/h were higher in those with OSA or CSA than in those without OSA or CSA, and OSA severity was related to the burden of nocturnal atrial ectopy. Severity of OSA or CSA was not significantly related to AF or > 10 PVC/h.
CLINICAL TRIAL REGISTRATION: ClinicalTrials.gov; No.: NCT01128816; URL: www.
CLINICALTRIALS: gov."
