key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,v1_decision,v1_reason,doi,keywords,pubmed_id,pmc_id
rayyan-642911473,"Sleep Architecture, Obstructive Sleep Apnea, and Cognitive Function in Adults.",2023,1,1,,,,,,Pase MP and Harrison S and Misialek JR and Kline CE and Cavuoto M and Baril AA and Yiallourou S and Bisson A and Himali D and Leng Y and Yang Q and Seshadri S and Beiser A and Gottesman RF and Redline S and Lopez O and Lutsey PL and Yaffe K and Stone KL and Purcell SM and Himali JJ and Matthew P. Pase and Stéphanie Harrison and Jeffrey R. Misialek and Christopher E. Kline and Marina Cavuoto and Andrée-Ann Baril and Stephanie Yiallourou and Alycia Bisson and Dibya Himali and Yue Leng and Qiong Yang and Sudha Seshadri and Alexa Beiser and Rebecca F. Gottesman and Susan Redline and Oscar L. López and Pamela L. Lutsey and Kristine Yaffe and Katie L. Stone and Shaun Purcell and Jayandra J. Himali,https://pubmed.ncbi.nlm.nih.gov/37462968/,,,,"IMPORTANCE: Good sleep is essential for health, yet associations between sleep and dementia risk remain incompletely understood. The Sleep and Dementia Consortium was established to study associations between polysomnography (PSG)-derived sleep and the risk of dementia and related cognitive and brain magnetic resonance imaging endophenotypes.OBJECTIVE: To investigate association of sleep architecture and obstructive sleep apnea (OSA) with cognitive function in the Sleep and Dementia Consortium.DESIGN, SETTING, AND PARTICIPANTS: The Sleep and Dementia Consortium curated data from 5 population-based cohorts across the US with methodologically consistent, overnight, home-based type II PSG and neuropsychological assessments over 5 years of follow-up: the Atherosclerosis Risk in Communities study, Cardiovascular Health Study, Framingham Heart Study (FHS), Osteoporotic Fractures in Men Study, and Study of Osteoporotic Fractures. Sleep metrics were harmonized centrally and then distributed to participating cohorts for cohort-specific analysis using linear regression; study-level estimates were pooled in random effects meta-analyses. Results were adjusted for demographic variables, the time between PSG and neuropsychological assessment (0-5 years), body mass index, antidepressant use, and sedative use. There were 5946 participants included in the pooled analyses without stroke or dementia. Data were analyzed from March 2020 to June 2023.EXPOSURES: Measures of sleep architecture and OSA derived from in-home PSG.MAIN OUTCOMES AND MEASURES: The main outcomes were global cognitive composite z scores derived from principal component analysis, with cognitive domains investigated as secondary outcomes. Higher scores indicated better performance.RESULTS: Across cohorts, 5946 adults (1875 females [31.5%]; mean age range, 58-89 years) were included. The median (IQR) wake after sleep onset time ranged from 44 (27-73) to 101 (66-147) minutes, and the prevalence of moderate to severe OSA ranged from 16.9% to 28.9%. Across cohorts, higher sleep maintenance efficiency (pooled ß per 1% increase, 0.08; 95% CI, 0.03 to 0.14; P < .01) and lower wake after sleep onset (pooled ß per 1-min increase, -0.07; 95% CI, -0.13 to -0.01 per 1-min increase; P = .02) were associated with better global cognition. Mild to severe OSA (apnea-hypopnea index [AHI] =5) was associated with poorer global cognition (pooled ß, -0.06; 95% CI, -0.11 to -0.01; P = .01) vs AHI less than 5; comparable results were found for moderate to severe OSA (pooled ß, -0.06; 95% CI, -0.11 to -0.01; P = .02) vs AHI less than 5. Differences in sleep stages were not associated with cognition.CONCLUSIONS AND RELEVANCE: This study found that better sleep consolidation and the absence of OSA were associated with better global cognition over 5 years of follow-up. These findings suggest that the role of interventions to improve sleep for maintaining cognitive function requires investigation.",Included,"IC1, IC2",10.1001/jamanetworkopen.2023.25152,,,
rayyan-642911474,Hypoxic Burden in Obstructive Sleep Apnea: Present and Future.,2023,1,1,,,,,,Martinez-Garcia MA and Sánchez-de-la-Torre M and White DP and Azarbarzin A and Miguel Ángel Martínez-García and Manuel Sánchez-de-la-Torre and David White and Ali Azarbarzin,https://pubmed.ncbi.nlm.nih.gov/36115739/,,,,"Conventional measures of obstructive sleep apnea (OSA) severity, such as the apnea-hypopnea index (AHI) and oxygen desaturation index (ODI) are commonly used to quantify OSA severity and guide therapeutical decision-making processes. However, it is widely recognized that both AHI and ODI have important limitations and novel physiologically-informed metrics are needed to better capture the severity of OSA and characterize its physiological consequences, particularly the severity of recurrent nocturnal hypoxemia, ensuing the respiratory events. According to recent studies, the sleep apnea-specific ""hypoxic burden (HB)"", defined as the sum of individual areas under the oxygen desaturation curve, has shown some promise in identifying high risk individuals with OSA. In addition to the frequency of respiratory events, HB capture the depth and duration of OSA-related hypoxemia that may prove to be important disease characterizing features, not captured by the conventional ""frequency-based"" metrics, such as AHI and ODI. In this ""perspective"" paper the methods to quantify the HB, its characteristics, associations with health outcomes, and its limitations will be discussed.",Excluded,EC4,10.1016/j.arbres.2022.08.005,,,
rayyan-642911475,"Sleep Disorders and Stroke: Pathophysiological Links, Clinical Implications, and Management Strategies.",2025,1,1,,,,,,Rissardo JP and Khalil I and Taha M and Chen J and Sayad R and Fornari Caprara AL,https://pubmed.ncbi.nlm.nih.gov/40843734/,,,,"Sleep disorders and stroke are intricately linked through a complex, bidirectional relationship. Sleep disturbances such as obstructive sleep apnea (OSA), insomnia, and restless legs syndrome (RLS) not only increase the risk of stroke but also frequently emerge as consequences of cerebrovascular events. OSA, in particular, is associated with a two- to three-fold increased risk of incident stroke, primarily through mechanisms involving intermittent hypoxia, systemic inflammation, endothelial dysfunction, and autonomic dysregulation. Conversely, stroke can disrupt sleep architecture and trigger or exacerbate sleep disorders, including insomnia, hypersomnia, circadian rhythm disturbances, and breathing-related sleep disorders. These post-stroke sleep disturbances are common and significantly impair rehabilitation, cognitive recovery, and quality of life, yet they remain underdiagnosed and undertreated. Early identification and management of sleep disorders in stroke patients are essential to optimize recovery and reduce the risk of recurrence. Therapeutic strategies include lifestyle modifications, pharmacological treatments, medical devices such as continuous positive airway pressure (CPAP), and emerging alternatives for CPAP-intolerant individuals. Despite growing awareness, significant knowledge gaps persist, particularly regarding non-OSA sleep disorders and their impact on stroke outcomes. Improved diagnostic tools, broader screening protocols, and greater integration of sleep assessments into stroke care are urgently needed. This narrative review synthesizes current evidence on the interplay between sleep and stroke, emphasizing the importance of personalized, multidisciplinary approaches to diagnosis and treatment. Advancing research in this field holds promise for reducing the global burden of stroke and improving long-term outcomes through targeted sleep interventions.",Excluded,EC-O,10.3390/medsci13030113,,,
rayyan-642911477,"Hypoxic burden - definitions, pathophysiological concepts, methods of evaluation, and clinical relevance.",2024,1,1,,,,,,Parekh A,https://pubmed.ncbi.nlm.nih.gov/39229876/,,,,"PURPOSE OF REVIEW: Obstructive sleep apnea (OSA) is a common chronic condition that affects over a billion people worldwide and is associated with adverse cardio- and cerebrovascular consequences. Currently, the go-to clinical measure that determines the presence and severity of OSA is the apnea-hypopnea index (AHI). The AHI captures the frequency of respiratory events due to changes in ventilation that are associated with either oxygen desaturations or arousal from sleep. The AHI is poorly correlated to adverse outcomes in OSA with poor prognostic ability. To overcome the limitations of AHI and perhaps driven by the ease of acquisition, several studies have suggested characterizing nocturnal hypoxia in OSA, termed as ""hypoxic burden"". The purpose of this review is to focus on the hypoxic burden in OSA, its various definitions, and its utility in moving OSA diagnosis beyond the AHI.RECENT FINDINGS: Several measures and definitions of hypoxic burden have been proposed and studied that show promise in overcoming limitations of AHI and also have a greater prognostic ability than AHI. More recently, area-based measures that attempt to characterize the depth and duration of oxygen desaturations, i.e., nocturnal hypoxia in OSA, have been shown to better relate to incident cardiovascular disease than AHI. In this review, we delve into the evidence for these novel area-based metrics and also delve into the pathophysiological concepts underlying nocturnal hypoxia while cautioning the reader on interpretation of the recent findings relating hypoxic burden to adverse outcomes in OSA.SUMMARY: In this review on hypoxic burden, we focus on the need that has driven the sudden influx of studies assessing hypoxic burden for various outcomes of OSA, its underlying pathophysiology, the various definitions, and clinical relevance. We hope that the reader can appreciate the nuances underlying hypoxic burden in OSA and suggest the need for a cohesive framework for moving beyond the AHI with hypoxic burden.",Excluded,EC4,10.1097/mcp.0000000000001122,,,
rayyan-642911478,Screening for Obstructive Sleep Apnea in Adults,2022,1,1,,,,,,Cynthia Feltner and Ina Wallace and Shannon Aymes and Jennifer Cook Middleton and Kelli L. Hicks and Manny Schwimmer and Claire Baker and Casey P. Balio and Daniel Moore and Christiane Voisin and Daniel E Jonas and US Preventive Services Task Force and Mangione CM and Barry MJ and Nicholson WK and Cabana M and Chelmow D and Rucker Coker T and Davidson KW and Davis EM and Donahue KE and Jaén CR and Kubik M and Li L and Ogedegbe G and Pbert L and Ruiz JM and Stevermer J and Wong JB and Carol M. Mangione and Michael J. Barry and Wanda K. Nicholson and Michael D. Cabana and David Chelmow and Tumaini R. Coker and Karina W. Davidson and Esa M. Davis and Katrina E Donahue and Carlos Roberto Jaén and Martha Kubik and Li Li and Gbenga Ogedegbe and Lori Pbert and John Ruiz and James Stevermer and John B. Wong,https://doi.org/10.1001/jama.2022.18357,,,,"Importance: Obstructive sleep apnea (OSA) is associated with adverse health outcomes. Objective: To review the evidence on screening for OSA in asymptomatic adults or those with unrecognized OSA symptoms to inform the US Preventive Services Task Force. Data Sources: PubMed/MEDLINE, Cochrane Library, Embase, and trial registries through August 23, 2021; surveillance through September 23, 2022. Study Selection: English-language studies of screening test accuracy, randomized clinical trials (RCTs) of screening or treatment of OSA reporting health outcomes or harms, and systematic reviews of treatment reporting changes in blood pressure and apnea-hypopnea index (AHI) scores. Data Extraction and Synthesis: Dual review of abstracts, full-text articles, and study quality. Meta-analysis of intervention trials. Main Outcomes and Measures: Test accuracy, excessive daytime sleepiness, sleep-related and general health-related quality of life (QOL), and harms. Results: Eighty-six studies were included (N = 11 051). No study directly compared screening with no screening. Screening accuracy of the Multivariable Apnea Prediction score followed by unattended home sleep testing for detecting severe OSA syndrome (AHI =30 and Epworth Sleepiness Scale [ESS] score &gt;10) measured as the area under the curve in 2 studies (n = 702) was 0.80 (95% CI, 0.78 to 0.82) and 0.83 (95% CI, 0.77 to 0.90). Five studies assessing the accuracy of other screening tools were heterogeneous and results were inconsistent. Compared with inactive control, positive airway pressure was associated with a significant improvement in ESS score from baseline (pooled mean difference, -2.33 [95% CI, -2.75 to -1.90]; 47 trials; n = 7024), sleep-related QOL (standardized mean difference, 0.30 [95% CI, 0.19 to 0.42]; 17 trials; n = 3083), and general health-related QOL measured by the 36-Item Short Form Health Survey (SF-36) mental health component summary score change (pooled mean difference, 2.20 [95% CI, 0.95 to 3.44]; 15 trials; n = 2345) and SF-36 physical health component summary score change (pooled mean difference, 1.53 [95% CI, 0.29 to 2.77]; 13 trials; n = 2031). Use of mandibular advancement devices was also associated with a significantly larger ESS score change compared with controls (pooled mean difference, -1.67 [95% CI, 2.09 to -1.25]; 10 trials; n = 1540). Reporting of other health outcomes was sparse; no included trial found significant benefit associated with treatment on mortality, cardiovascular events, or motor vehicle crashes. In 3 systematic reviews, positive airway pressure was significantly associated with reduced blood pressure; however, the difference was relatively small (2-3 mm Hg). Conclusions and Relevance: The accuracy and clinical utility of OSA screening tools that could be used in primary care settings were uncertain. Positive airway pressure and mandibular advancement devices reduced ESS score. Trials of positive airway pressure found modest improvement in sleep-related and general health-related QOL but have not established whether treatment reduces mortality or improves most other health outcomes.",Excluded,EC-O,10.1001/jama.2022.18357,,,
rayyan-642911480,Efficacy of incretin-based therapies in obesity-related obstructive sleep apnea: a systematic review and meta-analysis of randomized controlled trials.,2025,1,1,,,,,,Bardóczi A and Matics ZZ and Turan C and Szabó B and Molnár Z and Hegyi P and Müller V and Horváth G,https://pubmed.ncbi.nlm.nih.gov/40633481/,,,,"The primary etiologic risk factor for obstructive sleep apnea (OSA) is obesity. As incretin-based therapies, specifically glucagon-like peptide 1 (GLP-1) and dual GLP-1/glucose-dependent insulinotropic polypeptide (GIP) agonists, have shown promising outcomes in obesity management, these medications have generated interest in OSA therapy. To investigate their efficacy in OSA, we performed a systematic literature search following PRISMA and Cochrane Handbook guidelines for studies reporting apnea-hypopnea index (AHI) and incretin-based therapy in patients with OSA. Only randomized controlled trials were eligible for inclusion. Our literature search identified 813 publications, and 5 articles met the inclusion criteria. Collectively, the studies enrolled 1024 patients, lasted =12 weeks with liraglutide or tirzepatide, and resulted in significant reductions in body weight and/or body mass index. Incretin-based therapies were also associated with AHI reduction, with a mean change of -14.45 events/h (95 % CI: 25.90 to -2.99, p < 0.001). By pooling data of 5 RCTs in a pairwise meta-analysis, incretin-based therapies showed a greater effect on AHI than usual care, with a mean difference of -11.61 events/h (95 % CI: 22.91 to -0.31, p = 0.046). Our analysis demonstrates that weight reduction through incretin-based therapies improves AHI in OSA. Incretin-based therapies have the potential to treat sleep-disordered breathing in OSA patients with excess weight.",Excluded,EC-O,10.1016/j.smrv.2025.102119,,,
rayyan-642911481,Association of Hypoxic Burden With Cardiovascular Events: A Risk Stratification Analysis of the Randomized Intervention With CPAP in Coronary Artery Disease and Sleep Apnea Cohort.,2025,1,1,,,,,,Peker Y and Celik Y and Zinchuk A and Sands SA and Redline S and Azarbarzin A,https://pubmed.ncbi.nlm.nih.gov/40818776/,,,,"BACKGROUND: The apnea-hypopnea index (AHI), the standard measure of OSA, has limitations in reflecting disease severity.RESEARCH QUESTION: Is high hypoxic burden (HB) more strongly associated with major cardiovascular and cerebrovascular adverse events (MACCEs) than AHI of = 30 events/h?STUDY DESIGN AND METHODS: This secondary analysis of the Randomized Intervention With CPAP in Coronary Artery Disease and Sleep Apnea observational cohort included 368 adults with OSA (AHI = 15 events/h) with (n = 155) and without (n = 244) excessive daytime sleepiness (EDS), defined as an Epworth Sleepiness Scale score of = 10. HB was calculated as the total area under respiratory event-related desaturations divided by total sleep time. Patients were classified as having high or low HB based on the median (60.7%min/h). The primary outcome was the incident of the first MACCE. Cox proportional hazard models assessed associations in the full cohort and by CPAP allocation and adherence (nonadherent or no positive airway pressure [PAP] group, n = 262; adherent [adjusted PAP use = 4 h/night for all nights at 1-year follow-up], n = 106). In an exploratory analysis, participants were grouped into 4 categories based on median AHI and HB (low and low, low and high, high and low, and high and high, respectively).RESULTS: Over a median follow-up of 4.7 years, high HB was associated with MACCEs (adjusted hazard ratio, 1.87; 95% CI, 1.17-2.98; P = .009), particularly among untreated or nonadherent patients and those with baseline EDS. AHI of = 30 events/h was not associated significantly with MACCEs (P = .366). When modelled continuously, HB and AHI each were associated with MACCEs; however, compared with low AHI and low HB, only high HB, regardless of AHI level, was linked to increased risk. In contrast, high AHI and low HB was not associated with MACCEs.INTERPRETATION: High HB, but not AHI of = 30 events/h, was associated with MACCEs in adults with moderate to severe OSA. Although AHI was associated with outcomes when modelled continuously, elevated risk seemed to be driven primarily by high HB.CLINICAL TRIAL REGISTRATION: ClinicalTrials.gov; No.: NCT00519597; URL: www.CLINICALTRIALS: gov.",Included,IC1,10.1016/j.chest.2025.07.4081,,,
rayyan-642911482,Nocturnal Cardiac Arrhythmias in Heart Failure With Obstructive and Central Sleep Apnea.,2024,1,1,,,,,,Horvath CM and Fisser C and Floras JS and Sossalla S and Wang S and Tomlinson G and Rankin F and Yatsu S and Ryan CM and Bradley TD and Arzt M and ADVENT-HF Investigators,https://pubmed.ncbi.nlm.nih.gov/39168180/,,,,"BACKGROUND: Both obstructive and central sleep apnea (CSA) may contribute to nocturnal cardiac arrhythmias (NCAs). Data are scarce regarding the prevalence of clinically important nocturnal atrial and ventricular arrythmias in patients with heart failure with reduced ejection fraction (HFrEF) and OSA or CSA.RESEARCH QUESTION: In a cohort of patients with HFrEF, how does the prevalence of NCA compare among those with OSA, CSA, and those with no to mild sleep apnea? Is the severity of OSA or CSA associated with atrial and ventricular NCAs?STUDY DESIGN AND METHODS: This cross-sectional analysis is an ancillary study of the Effect of Adaptive Servo Ventilation on Survival and Hospital Admissions in Heart Failure (ADVENT-HF) trial. We compared the prevalence of NCAs (excessive supraventricular ectopic activity [ESVEA], defined as premature atrial complexes = 30/h or supraventricular tachycardia = 20 beats); atrial fibrillation/flutter [AF]; and > 10 premature ventricular complexes [PVCs/h]) on ECGs from polysomnograms of patients with HFrEF between those with OSA (apnea-hypopnea index [AHI = 15 events/h]), those with CSA (AHI = 15 events/h), and those with no to mild sleep apnea (AHI < 15 events/h [control]).RESULTS: The prevalence of ESVEA was higher in patients with OSA (n = 430) and CSA (n = 150) compared with control participants (n = 76): 0%, 9%, and 12%, respectively. The prevalence of AF in the control, OSA, and CSA groups was 9%, 17%, and 27%; the prevalence of > 10 PVCs/h was 45%, 59%, and 63%. In multivariable regression analyses, premature atrial complexes/h was associated with OSA severity (obstructive AHI: 22.4% increase per 10 events/h [95% CI, 5.2-42.3; P = .009), although neither obstructive nor central AHI was associated with AF or > 10 PVC/h.INTERPRETATION: In patients with HFrEF, the prevalences of nocturnal ESVEA, AF, and PVC > 10/h were higher in those with OSA or CSA than in those without OSA or CSA, and OSA severity was related to the burden of nocturnal atrial ectopy. Severity of OSA or CSA was not significantly related to AF or > 10 PVC/h.CLINICAL TRIAL REGISTRATION: ClinicalTrials.gov; No.: NCT01128816; URL: www.CLINICALTRIALS: gov.",Included,"IC1, IC2",10.1016/j.chest.2024.08.003,,,
rayyan-642911483,Obstructive sleep apnea in hypothyroidism.,2022,1,1,,,,,,Pancholi C and Chaudhary SC and Gupta KK and Sawlani KK and Verma SK and Singh A and Verma AK and Usman K and Atam V,https://pubmed.ncbi.nlm.nih.gov/36412342/,,,,"INTRODUCTION: Obstructive sleep apnea (OSA) and hypothyroidism are closely linked as hypothyroidism has been shown to lead to the development of OSA through multiple mechanisms. With the changing lifestyle patterns worldwide and increased prevalence of obesity, the burden of OSA has substantially increased. The association of OSA with hypothyroidism is essential to establish. If identified early, treatment of OSA and associated hypothyroidism can be done timely to minimize the potential harmful complications of OSA on all aspects of the patient's health.AIMS: This study was done to find out the prevalence of OSA in hypothyroidism patients.SETTING AND DESIGNS: It was a cross-sectional study, done over a period of 1 year in a tertiary care hospital.MATERIALS AND METHODS: A total of 100 hypothyroidism patients were enrolled after taking written consent. All patients were subjected to STOP-Bang questionnaire and patient falling in intermediate-high risk (score3-8), were taken for overnight polysomnography to confirm the diagnosis of OSA (AHI =5).STATISTICAL ANALYSIS USED: The Statistical Package for the Social Sciences version 21.0 statistical analysis software.RESULTS: Out of 100 patients, who underwent polysomnography, 74 (74%) cases had OSA (AHI =5). Out of total 74 OSA cases, 29 (39.2%) cases had mild OSA (AHI 5-14), 15 (20.3%) cases had moderate OSA (AHI 15-30), and 30 (40.5%) cases had severe OSA. The age of the study population ranged between 24 and 78 years and the mean age was 58.28 ± 11.22 years. The mean age of the patients in the OSA group (59.27 ± 11.17 years) was higher than the non-OSA group (55.46 ± 11.09 years). Majority (64%) of our cases were male, and the proportion of males was found to be higher than females in both the groups (OSA/non-OSA). The body mass index (BMI) of the OSA group was found to be statistically higher as compared to that of the non-OSA group (P = 0.040). The BMI was found to be higher in severe OSA, but it was not statistically significant (P = 0.128). The mean value of FT4 was lower and thyroid-stimulating hormone (TSH) was higher in the OSA group as compared with the non-OSA group. However, no significant association was found between FT4 and TSH values in both the groups. Out of 100 cases, 41 patients were treatment naïve with mean TSH value of 13.1 ± 7 and 59 were on treatment with mean TSH of 8.3 ± 4. Treatment-naïve patients had a statistically higher number (85.3%) of OSA cases in comparison to patients on treatment (66.1) (P = 0.030).CONCLUSIONS: Prevalence of OSA is quite high in hypothyroidism. Patients with hypothyroidism should be screened for OSA for early diagnosis, especially in individuals with higher BMI. Treatment of hypothyroidism reduces the prevalence of OSA.",Included,"IC1, IC2",10.4103/aam.aam_134_21,,,
rayyan-642911484,Sex differences in sleep and sleep-disordered breathing.,2024,1,1,,,,,,Schwarz EI and Schiza S,https://pubmed.ncbi.nlm.nih.gov/39189037/,,,,"PURPOSE OF REVIEW: There is increasing evidence for relevant sex differences in pathophysiology, symptom presentation and outcomes in obstructive sleep apnoea (OSA). However, research on sex differences and sex-specific phenotypes in sleep-disordered breathing (SDB) is still in its infancy and data on sex differences in other SDB is still very scarce.RECENT FINDINGS: While OSA is more common in men than in premenopausal women, the prevalence of OSA doubles postmenopausally and becomes comparable to that of men. Women have a lower collapsibility of the upper airway and a lower arousal threshold. In addition, the rapid eye movement (REM)-apnoea-hypopnoea index (AHI) is typically higher in women than in men, but the non-REM-AHI and thus the total AHI is often lower. Women are often symptomatic at lower AHI and present more frequently with symptoms of sleep fragmentation and poor sleep quality. Both certain forms of OSA (e.g. REM-OSA) and certain phenotypes (e.g. COMISA) are more common in women. Men have a higher risk of high loop gain central sleep apnoea.SUMMARY: For a better understanding of sex-typical phenotypes with the aim of a more targeted treatment approach of SDB, adequately powered studies on sex differences in SDB should be conducted.",Excluded,EC4,10.1097/mcp.0000000000001116,,,
